Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,UCI.1,stage,year
26.0,,32.0,1.0,+0:00,100.0,Sagan Peter,1.0,Tinkoff,4:20:51 4:20:51,20.0,120.0,2,2016
24.0,,182.0,2.0,+0:08,70.0,Alaphilippe Julian,2.0,Etixx - Quick Step,",, ,,",10.0,50.0,2,2016
36.0,,12.0,3.0,+0:10,50.0,Valverde Alejandro,3.0,Movistar Team,",, ,,",6.0,25.0,2,2016
29.0,,184.0,10.0,+0:14,40.0,Martin Dan,4.0,Etixx - Quick Step,",, ,,",4.0,15.0,2,2016
25.0,,207.0,19.0,+0:14,32.0,Matthews Michael,5.0,ORICA-BikeExchange,",, ,,",2.0,5.0,2,2016
25.0,,51.0,15.0,+0:14,26.0,Kelderman Wilco,6.0,Team LottoNL-Jumbo,",, ,,",,,2,2016
28.0,,165.0,13.0,+0:14,22.0,Gallopin Tony,7.0,Lotto Soudal,",, ,,",,,2,2016
31.0,,98.0,6.0,+0:14,18.0,Van Avermaet Greg,8.0,BMC Racing Team,",, ,,",,,2,2016
29.0,,61.0,23.0,+0:14,14.0,Mollema Bauke,9.0,Trek - Segafredo,",, ,,",,,2,2016
31.0,,1.0,5.0,+0:14,10.0,Froome Chris,10.0,Team Sky,",, ,,",,,2,2016
36.0,,201.0,9.0,+0:14,8.0,Gerrans Simon,11.0,ORICA-BikeExchange,",, ,,",,,2,2016
29.0,,81.0,12.0,+0:14,6.0,Rolland Pierre,12.0,Cannondale-Drapac Pro Cycling Team,",, ,,",,,2,2016
23.0,,209.0,21.0,+0:14,4.0,Yates Adam,13.0,ORICA-BikeExchange,",, ,,",,,2,2016
24.0,,111.0,4.0,+0:14,2.0,Barguil Warren,14.0,Team Giant - Alpecin,",, ,,",,,2,2016
37.0,,141.0,26.0,+0:14,1.0,Rodríguez Joaquim,15.0,Team Katusha,",, ,,",,,2,2016
26.0,,21.0,11.0,+0:14,,Aru Fabio,16.0,Astana Pro Team,",, ,,",,,2,2016
26.0,,11.0,7.0,+0:14,,Quintana Nairo,17.0,Movistar Team,",, ,,",,,2,2016
29.0,,151.0,20.0,+0:14,,Costa Rui,18.0,Lampre - Merida,",, ,,",,,2,2016
27.0,,99.0,18.0,+0:14,,van Garderen Tejay,19.0,BMC Racing Team,",, ,,",,,2,2016
33.0,,147.0,16.0,+0:14,,Van den Broeck Jurgen,20.0,Team Katusha,",, ,,",,,2,2016
26.0,,4.0,24.0,+0:14,,Landa Mikel,21.0,Team Sky,",, ,,",,,2,2016
27.0,,129.0,25.0,+0:14,,Vichot Arthur,22.0,FDJ,",, ,,",,,2,2016
30.0,,36.0,8.0,+0:14,,Kreuziger Roman,23.0,Tinkoff,",, ,,",,,2,2016
25.0,,41.0,17.0,+0:14,,Bardet Romain,24.0,AG2R La Mondiale,",, ,,",,,2,2016
25.0,,114.0,14.0,+0:14,,Dumoulin Tom,25.0,Team Giant - Alpecin,",, ,,",,,2,2016
28.0,,2.0,22.0,+0:14,,Henao Sergio,26.0,Team Sky,",, ,,",,,2,2016
29.0,,71.0,27.0,+0:24,,Frank Mathias,27.0,IAM Cycling,0:10 0:10,,,2,2016
27.0,,126.0,30.0,+0:25,,Reichenbach Sébastien,28.0,FDJ,0:11 0:11,,,2,2016
31.0,,22.0,28.0,+0:25,,Nibali Vincenzo,29.0,Astana Pro Team,",, 0:11",,,2,2016
26.0,,121.0,31.0,+0:25,,Pinot Thibaut,30.0,FDJ,",, 0:11",,,2,2016
24.0,,157.0,32.0,+0:25,,Meintjes Louis,31.0,Lampre - Merida,",, 0:11",,,2,2016
27.0,,79.0,29.0,+0:25,,Pantano Jarlinson,32.0,IAM Cycling,",, 0:11",,,2,2016
28.0,,49.0,34.0,+0:29,,Vuillermoz Alexis,33.0,AG2R La Mondiale,0:15 0:15,,,2,2016
32.0,,28.0,33.0,+0:29,,Sánchez Luis León,34.0,Astana Pro Team,",, 0:15",,,2,2016
24.0,,83.0,35.0,+0:31,,Craddock Lawson,35.0,Cannondale-Drapac Pro Cycling Team,0:17 0:17,,,2,2016
39.0,,69.0,41.0,+0:31,,Zubeldia Haimar,36.0,Trek - Segafredo,",, 0:17",,,2,2016
27.0,,88.0,43.0,+0:31,,Slagter Tom-Jelte,37.0,Cannondale-Drapac Pro Cycling Team,",, 0:17",,,2,2016
32.0,,107.0,36.0,+0:31,,Pauwels Serge,38.0,Team Dimension Data,",, 0:17",,,2,2016
24.0,,137.0,42.0,+0:31,,Konrad Patrick,39.0,Bora - Argon 18,",, 0:17",,,2,2016
23.0,,131.0,39.0,+0:31,,Buchmann Emanuel,40.0,Bora - Argon 18,",, 0:17",,,2,2016
25.0,,211.0,38.0,+0:31,,Sepúlveda Eduardo,41.0,Fortuneo - Vital Concept,",, 0:17",,,2,2016
29.0,,25.0,40.0,+0:31,,Kangert Tanel,42.0,Astana Pro Team,",, 0:17",,,2,2016
25.0,,15.0,44.0,+0:35,,Herrada Jesús,43.0,Movistar Team,0:21 0:21,,,2,2016
28.0,,177.0,37.0,+0:31,,Sicard Romain,44.0,Direct Energie,0:17 0:17,,,2,2016
28.0,,46.0,45.0,+0:35,,Gautier Cyril,45.0,AG2R La Mondiale,0:21 0:21,,,2,2016
30.0,,9.0,46.0,+0:38,,Thomas Geraint,46.0,Team Sky,0:24 0:24,,,2,2016
32.0,,198.0,47.0,+0:40,,Maté Luis Ángel,47.0,"Cofidis, Solutions Crédits",0:26 0:26,,,2,2016
30.0,,195.0,48.0,+0:40,,Jeannesson Arnold,48.0,"Cofidis, Solutions Crédits",",, 0:26",,,2,2016
36.0,,65.0,49.0,+0:46,,Schleck Fränk,49.0,Trek - Segafredo,0:32 0:32,,,2,2016
24.0,,159.0,51.0,+0:49,,Polanc Jan,50.0,Lampre - Merida,0:35 0:35,,,2,2016
33.0,,124.0,54.0,+0:49,,Morabito Steve,51.0,FDJ,",, 0:35",,,2,2016
34.0,,145.0,52.0,+0:49,,Losada Alberto,52.0,Team Katusha,",, 0:35",,,2,2016
30.0,,42.0,53.0,+0:49,,Bakelants Jan,53.0,AG2R La Mondiale,",, 0:35",,,2,2016
