Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
24,87,6,+8:20,,Verbrugghe Rik,1,Lotto - Mobistar,8:20 8:20,,0,1999
23,188,14,+8:27,,Vande Velde Christian,2,US Postal Service,0:07 0:07,,0,1999
25,99,29,+8:34,,Salmon Benoit,3,Casino - AG2R,0:14 0:14,,0,1999
24,132,30,+8:35,,B\xe4ckstedt Magnus,4,Credit agricole,0:15 0:15,,0,1999
24,81,35,+8:37,,Aerts Mario,5,Lotto - Mobistar,0:17 0:17,,0,1999
23,146,37,+8:38,,Lefevre Laurent,6,Festina - Lotus,0:18 0:18,,0,1999
23,165,42,+8:38,,Mancebo Francisco,7,Banesto,",, 0:18",,0,1999
25,56,52,+8:40,,Perez Luis,8,O.N.C.E. - Deutsche Bank,0:20 0:20,,0,1999
24,73,64,+8:43,,Commesso Salvatore,9,Saeco - Cannondale,0:23 0:23,,0,1999
24,127,67,+8:44,,Horrillo Pedro,10,Vitalicio Seguros - Grupo Generali,0:24 0:24,,0,1999
25,152,71,+8:46,,Bassons Christophe,11,La Fran\xe7aise des Jeux,0:26 0:26,,0,1999
25,158,72,+8:46,,Morin Anthony,12,La Fran\xe7aise des Jeux,",, 0:26",,0,1999
25,68,92,+8:49,,Sacchi Fabio,13,Polti,0:29 0:29,,0,1999
22,26,94,+8:50,,Jaksche Jorg,14,Team Telekom,0:30 0:30,,0,1999
23,106,108,+8:53,,Pinotti Marco,15,Lampre - Daikin - Colnago,0:33 0:33,,0,1999
24,175,117,+8:56,,Giunti Massimo,16,Cantina Tollo - Alexia Alluminio,0:36 0:36,,0,1999
24,176,120,+8:57,,Ljungqvist Marcus,17,Cantina Tollo - Alexia Alluminio,0:37 0:37,,0,1999
21,153,121,+8:57,,Casper Jimmy,18,La Fran\xe7aise des Jeux,",, 0:37",,0,1999
23,125,129,+8:58,,Garcia Francisco Tomas,19,Vitalicio Seguros - Grupo Generali,0:38 0:38,,0,1999
25,135,131,+8:58,,Langella Anthony,20,Credit agricole,",, 0:38",,0,1999
25,166,134,+8:58,,Navas David,21,Banesto,",, 0:38",,0,1999
23,102,136,+8:59,,Belohvosciks Raivis,22,Lampre - Daikin - Colnago,0:39 0:39,,0,1999
23,199,139,+9:02,,Sweet Jay,23,BigMat - Auber 93,0:42 0:42,,0,1999
23,2,141,+9:02,,De Wolf Steve,24,Cofidis,",, 0:42",,0,1999
25,159,145,+9:04,,Nazon Damien,25,La Fran\xe7aise des Jeux,0:44 0:44,,0,1999
24,82,154,+9:06,,De Waele Fabian,26,Lotto - Mobistar,0:46 0:46,,0,1999
24,194,157,+9:07,,Da Cruz Carlos,27,BigMat - Auber 93,0:47 0:47,,0,1999
25,134,167,+9:17,,Hinault S\xe9bastien,28,Credit agricole,0:57 0:57,,0,1999
24,116,173,+9:20,,Otxoa Javier,29,Kelme - Costa Blanca,1:00 1:00,,0,1999
25,177,175,+9:21,,Mazzanti Luca,30,Cantina Tollo - Alexia Alluminio,1:01 1:01,,0,1999
23,174,176,+9:24,,Di Biase Moreno,31,Cantina Tollo - Alexia Alluminio,1:04 1:04,,0,1999
23,7,178,+9:29,,Loder Thierry,32,Cofidis,1:09 1:09,,0,1999
25,115,179,+9:32,,Gomez Jose Javier,33,Kelme - Costa Blanca,1:12 1:12,,0,1999
24,87,7,+5:04:38,1.0,Verbrugghe Rik,1,Lotto - Mobistar,5:04:38 5:04:38,-,1,1999
23,188,15,+5:04:43,2.0,Vande Velde Christian,2,US Postal Service,0:05 0:05,-,1,1999
25,99,30,+5:04:52,3.0,Salmon Benoit,3,Casino - AG2R,0:14 0:14,-,1,1999
24,132,31,+5:04:53,4.0,B\xe4ckstedt Magnus,4,Credit agricole,0:15 0:15,-,1,1999
24,81,37,+5:04:55,5.0,Aerts Mario,5,Lotto - Mobistar,0:17 0:17,-,1,1999
23,146,39,+5:04:56,6.0,Lefevre Laurent,6,Festina - Lotus,0:18 0:18,-,1,1999
23,165,44,+5:04:56,7.0,Mancebo Francisco,7,Banesto,",, 0:18",-,1,1999
25,56,55,+5:04:58,8.0,Perez Luis,8,O.N.C.E. - Deutsche Bank,0:20 0:20,-,1,1999
24,73,66,+5:05:01,9.0,Commesso Salvatore,9,Saeco - Cannondale,0:23 0:23,-,1,1999
24,127,69,+5:05:02,10.0,Horrillo Pedro,10,Vitalicio Seguros - Grupo Generali,0:24 0:24,-,1,1999
25,152,74,+5:05:04,11.0,Bassons Christophe,11,La Fran\xe7aise des Jeux,0:26 0:26,-,1,1999
25,158,75,+5:05:04,12.0,Morin Anthony,12,La Fran\xe7aise des Jeux,",, 0:26",-,1,1999
25,68,95,+5:05:07,13.0,Sacchi Fabio,13,Polti,0:29 0:29,-,1,1999
22,26,97,+5:05:08,14.0,Jaksche Jorg,14,Team Telekom,0:30 0:30,-,1,1999
23,106,110,+5:05:11,15.0,Pinotti Marco,15,Lampre - Daikin - Colnago,0:33 0:33,-,1,1999
24,175,118,+5:05:14,16.0,Giunti Massimo,16,Cantina Tollo - Alexia Alluminio,0:36 0:36,-,1,1999
24,176,121,+5:05:15,17.0,Ljungqvist Marcus,17,Cantina Tollo - Alexia Alluminio,0:37 0:37,-,1,1999
21,153,122,+5:05:15,18.0,Casper Jimmy,18,La Fran\xe7aise des Jeux,",, 0:37",-,1,1999
23,125,128,+5:05:16,19.0,Garcia Francisco Tomas,19,Vitalicio Seguros - Grupo Generali,0:38 0:38,-,1,1999
25,135,130,+5:05:16,20.0,Langella Anthony,20,Credit agricole,",, 0:38",-,1,1999
25,166,133,+5:05:16,21.0,Navas David,21,Banesto,",, 0:38",-,1,1999
23,102,135,+5:05:17,22.0,Belohvosciks Raivis,22,Lampre - Daikin - Colnago,0:39 0:39,-,1,1999
23,199,138,+5:05:20,23.0,Sweet Jay,23,BigMat - Auber 93,0:42 0:42,-,1,1999
23,2,140,+5:05:20,24.0,De Wolf Steve,24,Cofidis,",, 0:42",-,1,1999
25,159,144,+5:05:22,25.0,Nazon Damien,25,La Fran\xe7aise des Jeux,0:44 0:44,-,1,1999
24,82,153,+5:05:24,26.0,De Waele Fabian,26,Lotto - Mobistar,0:46 0:46,-,1,1999
24,194,156,+5:05:25,27.0,Da Cruz Carlos,27,BigMat - Auber 93,0:47 0:47,-,1,1999
25,134,166,+5:05:35,28.0,Hinault S\xe9bastien,28,Credit agricole,0:57 0:57,-,1,1999
