Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
25,47,5.0,+9:12,,,Millar David,1,Cofidis,9:13 9:13,,,0,2002
23,153,19.0,+9:24,,,Bertogliati Rubens,2,Lampre - Daikin,0:12 0:12,,,0,2002
24,81,27.0,+9:27,,,Basso Ivan,3,Fassa Bortolo,0:15 0:15,,,0,2002
23,94,28.0,+9:27,,,Cooke Baden,4,La Fran\xe7aise des Jeux,",, 0:15",,,0,2002
23,92,33.0,+9:29,,,Casar Sandy,5,La Fran\xe7aise des Jeux,0:16 0:16,,,0,2002
24,167,39.0,+9:31,,,Mayo Iban,6,Euskaltel - Euskadi,0:19 0:19,,,0,2002
25,169,52.0,+9:35,,,Zubeldia Haimar,7,Euskaltel - Euskadi,0:23 0:23,,,0,2002
24,168,53.0,+9:35,,,S\xe1nchez Samuel,8,Euskaltel - Euskadi,",, 0:23",,,0,2002
25,125,58.0,+9:36,,,Hunter Robert,9,Mapei - Quickstep,",, 0:23",,,0,2002
24,154,59.0,+9:36,,,Cortinovis Alessandro,10,Lampre - Daikin,",, 0:23",,,0,2002
24,91,60.0,+9:36,,,Vogondy Nicolas,11,La Fran\xe7aise des Jeux,0:24 0:24,,,0,2002
25,84,67.0,+9:38,,,Gustov Volodymyr,12,Fassa Bortolo,0:26 0:26,,,0,2002
24,39,75.0,+9:41,,,Zaballa Constantino,13,Kelme - Costa Blanca,0:28 0:28,,,0,2002
24,26,83.0,+9:43,,,Nozal Isidro,14,O.N.C.E. - Eroski,0:31 0:31,,,0,2002
25,144,84.0,+9:43,,,Brandt Christophe,15,Lotto - Adecco,",, 0:31",,,0,2002
25,162,92.0,+9:45,,,Arrizabalaga Gorka,16,Euskaltel - Euskadi,0:32 0:32,,,0,2002
22,117,100.0,+9:46,,,Pineau J\xe9rome,17,Bonjour,0:34 0:34,,,0,2002
24,36,107.0,+9:48,,,Perez Santiago,18,Kelme - Costa Blanca,0:36 0:36,,,0,2002
24,131,108.0,+9:48,,,Menchov Denis,19,Ibanesto.com,",, 0:36",,,0,2002
24,64,124.0,+9:53,,,Hushovd Thor,20,Cr\xe9dit Agricole,0:40 0:40,,,0,2002
22,206,126.0,+9:53,,,Edaleine Christophe,21,Jean Delatour,0:41 0:41,,,0,2002
24,93,130.0,+9:55,,,Casper Jimmy,22,La Fran\xe7aise des Jeux,0:43 0:43,,,0,2002
23,129,143.0,+9:59,,,Trampusch Gerhard,23,Mapei - Quickstep,0:47 0:47,,,0,2002
23,185,149.0,+10:01,,,Flickinger Andy,24,AG2R Pr\xe9voyance,0:49 0:49,,,0,2002
23,114,157.0,+10:03,,,Chavanel Sylvain,25,Bonjour,0:51 0:51,,,0,2002
25,105,172.0,+10:14,,,Engels Addy,26,Rabobank ProTeam,1:01 1:01,,,0,2002
24,156,185.0,+10:31,,,Pagliarini Luciano Andr\xe9,27,Lampre - Daikin,1:18 1:18,,,0,2002
24,165,187.0,+10:35,,,Gonzalez Gorka,28,Euskaltel - Euskadi,1:23 1:23,,,0,2002
23,153,1.0,+0:00,,2.0,Bertogliati Rubens,1,Lampre - Daikin,4:58:21 4:58:21,,\u25b21,1,2002
25,47,6.0,+0:08,,1.0,Millar David,2,Cofidis,0:08 0:08,,\u25bc1,1,2002
24,81,27.0,+0:23,,3.0,Basso Ivan,3,Fassa Bortolo,0:23 0:23,,-,1,2002
23,94,28.0,+0:23,,4.0,Cooke Baden,4,La Fran\xe7aise des Jeux,",, 0:23",,-,1,2002
23,92,33.0,+0:24,,5.0,Casar Sandy,5,La Fran\xe7aise des Jeux,0:24 0:24,,-,1,2002
25,169,45.0,+0:31,,7.0,Zubeldia Haimar,6,Euskaltel - Euskadi,0:31 0:31,,\u25b21,1,2002
24,154,50.0,+0:31,,10.0,Cortinovis Alessandro,7,Lampre - Daikin,",, 0:31",,\u25b23,1,2002
24,91,51.0,+0:32,,11.0,Vogondy Nicolas,8,La Fran\xe7aise des Jeux,0:32 0:32,,\u25b23,1,2002
25,84,56.0,+0:34,,12.0,Gustov Volodymyr,9,Fassa Bortolo,0:34 0:34,,\u25b23,1,2002
24,26,63.0,+0:39,,14.0,Nozal Isidro,10,O.N.C.E. - Eroski,0:39 0:39,,\u25b24,1,2002
25,144,64.0,+0:39,,15.0,Brandt Christophe,11,Lotto - Adecco,",, 0:39",,\u25b24,1,2002
22,117,77.0,+0:42,,17.0,Pineau J\xe9rome,12,Bonjour,0:42 0:42,,\u25b25,1,2002
24,36,82.0,+0:44,,18.0,Perez Santiago,13,Kelme - Costa Blanca,0:44 0:44,,\u25b25,1,2002
24,131,83.0,+0:44,,19.0,Menchov Denis,14,Ibanesto.com,",, 0:44",,\u25b25,1,2002
23,129,101.0,+0:55,,23.0,Trampusch Gerhard,15,Mapei - Quickstep,0:55 0:55,,\u25b28,1,2002
23,185,104.0,+0:57,,24.0,Flickinger Andy,16,AG2R Pr\xe9voyance,0:57 0:57,,\u25b28,1,2002
25,105,118.0,+1:09,,26.0,Engels Addy,17,Rabobank ProTeam,1:09 1:09,,\u25b29,1,2002
22,206,122.0,+1:16,,21.0,Edaleine Christophe,18,Jean Delatour,1:16 1:16,,\u25b23,1,2002
24,39,136.0,+3:56,,13.0,Zaballa Constantino,19,Kelme - Costa Blanca,3:56 3:56,,\u25bc6,1,2002
23,114,141.0,+4:19,,25.0,Chavanel Sylvain,20,Bonjour,4:19 4:19,,\u25b25,1,2002
24,93,145.0,+4:30,,22.0,Casper Jimmy,21,La Fran\xe7aise des Jeux,4:30 4:30,,\u25b21,1,2002
24,167,148.0,+4:40,,6.0,Mayo Iban,22,Euskaltel - Euskadi,4:40 4:40,,\u25bc16,1,2002
24,168,152.0,+4:44,,8.0,S\xe1nchez Samuel,23,Euskaltel - Euskadi,4:44 4:44,,\u25bc15,1,2002
25,125,153.0,+4:44,,9.0,Hunter Robert,24,Mapei - Quickstep,",, 4:44",,\u25bc15,1,2002
25,162,158.0,+4:53,,16.0,Arrizabalaga Gorka,25,Euskaltel - Euskadi,4:53 4:53,,\u25bc9,1,2002
24,64,182.0,+12:14,,20.0,Hushovd Thor,26,Cr\xe9dit Agricole,12:14 12:14,,\u25bc6,1,2002
