Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
25,63,1.0,+0:00,,,Dennis Rohan,1,BMC Racing Team,14:56 14:56,,1,2015
24,85,4.0,+0:08,,,Dumoulin Tom,2,Team Giant - Alpecin,0:08 0:08,,1,2015
24,132,9.0,+0:30,,,Kelderman Wilco,3,Team LottoNL-Jumbo,0:30 0:30,,1,2015
22,147,15.0,+0:38,,,Jungels Bob,4,Trek Factory Racing,0:38 0:38,,1,2015
23,169,16.0,+0:38,,,van Baarle Dylan,5,Team Cannondale - Garmin,",, 0:38",,1,2015
25,21,18.0,+0:41,,,Pinot Thibaut,6,FDJ,0:41 0:41,,1,2015
25,47,19.0,+0:41,,,Sagan Peter,7,Tinkoff - Saxo,",, 0:41",,1,2015
24,103,32.0,+0:46,,,Durbridge Luke,8,Orica GreenEDGE,0:46 0:46,,1,2015
22,109,33.0,+0:46,,,Yates Simon,9,Orica GreenEDGE,",, 0:46",,1,2015
24,105,47.0,+0:58,,,Matthews Michael,10,Orica GreenEDGE,0:58 0:58,,1,2015
25,87,51.0,+0:59,,,Preidler Georg,11,Team Giant - Alpecin,0:59 0:59,,1,2015
25,51,57.0,+1:01,,,Quintana Nairo,12,Movistar Team,1:01 1:01,,1,2015
25,111,64.0,+1:06,,,Kwiatkowski Michal,13,Etixx - Quick Step,1:06 1:06,,1,2015
22,194,78.0,+1:12,,,Buchmann Emanuel,14,Bora - Argon 18,1:12 1:12,,1,2015
23,24,81.0,+1:12,,,D\xe9mare Arnaud,15,FDJ,",, 1:12",,1,2015
22,108,97.0,+1:18,,,Yates Adam,16,Orica GreenEDGE,1:18 1:18,,1,2015
24,79,102.0,+1:21,,,Wellens Tim,17,Lotto Soudal,1:21 1:21,,1,2015
23,217,103.0,+1:21,,,Meintjes Louis,18,MTN - Qhubeka,",, 1:21",,1,2015
21,176,115.0,+1:24,,,S\xe9n\xe9chal Florian,19,"Cofidis, Solutions Cr\xe9dits",1:24 1:24,,1,2015
22,173,120.0,+1:25,,,Laporte Christophe,20,"Cofidis, Solutions Cr\xe9dits",1:25 1:25,,1,2015
23,82,127.0,+1:27,,,Barguil Warren,21,Team Giant - Alpecin,1:27 1:27,,1,2015
24,12,145.0,+1:34,,,Bardet Romain,22,AG2R La Mondiale,1:34 1:34,,1,2015
24,94,150.0,+1:35,,,Haller Marco,23,Team Katusha,1:35 1:35,,1,2015
24,201,157.0,+1:40,,,Sep\xfalveda Eduardo,24,Bretagne - S\xe9ch\xe9 Environnement,1:40 1:40,,1,2015
25,179,170.0,+1:48,,,Vanbilsen Kenneth,25,"Cofidis, Solutions Cr\xe9dits",1:48 1:48,,1,2015
24,193,171.0,+1:48,,,Bennett Sam,26,Bora - Argon 18,",, 1:48",,1,2015
23,49,172.0,+1:49,,,Valgren Michael,27,Tinkoff - Saxo,1:49 1:49,,1,2015
21,216,175.0,+1:51,,,Kudus Merhawi,28,MTN - Qhubeka,1:51 1:51,,1,2015
23,122,176.0,+1:51,,,Coquard Bryan,29,Team Europcar,",, 1:51",,1,2015
25,37,180.0,+1:54,,,Rowe Luke,30,Team Sky,1:54 1:54,,1,2015
24,128,183.0,+1:57,,,Tulik Angelo,31,Team Europcar,1:57 1:57,,1,2015
24,171,191.0,+2:14,,,Bouhanni Nacer,32,"Cofidis, Solutions Cr\xe9dits",2:14 2:14,,1,2015
24,85,3.0,+0:06,,2.0,Dumoulin Tom,1,Team Giant - Alpecin,3:44:07 3:44:07,\u25b21,2,2015
25,47,4.0,+0:33,,7.0,Sagan Peter,2,Tinkoff - Saxo,0:27 0:27,\u25b25,2,2015
25,111,19.0,+1:19,,13.0,Kwiatkowski Michal,3,Etixx - Quick Step,1:13 1:13,\u25b210,2,2015
23,82,22.0,+1:25,,21.0,Barguil Warren,4,Team Giant - Alpecin,1:19 1:19,\u25b217,2,2015
25,63,23.0,+1:26,,1.0,Dennis Rohan,5,BMC Racing Team,1:20 1:20,\u25bc4,2,2015
25,21,31.0,+2:07,,6.0,Pinot Thibaut,6,FDJ,2:01 2:01,-,2,2015
25,87,42.0,+2:25,,11.0,Preidler Georg,7,Team Giant - Alpecin,2:19 2:19,\u25b24,2,2015
25,51,44.0,+2:27,,12.0,Quintana Nairo,8,Movistar Team,2:21 2:21,\u25b24,2,2015
