Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,UCI,UCI.1,\u25bc\u25b2,stage,year
31,101,1,+0:00,100.0,,Cavendish Mark,1,Team Dimension Data,4:14:05 4:14:05,20.0,120.0,,1,2016
28,181,2,+0:04,70.0,,Kittel Marcel,2,Etixx - Quick Step,",, ,,",10.0,50.0,,1,2016
26,32,3,+0:06,50.0,,Sagan Peter,3,Tinkoff,",, ,,",6.0,25.0,,1,2016
33,161,4,+0:10,40.0,,Greipel Andr\xe9,4,Lotto Soudal,",, ,,",4.0,15.0,,1,2016
25,68,5,+0:10,32.0,,Theuns Edward,5,Trek - Segafredo,",, ,,",2.0,5.0,,1,2016
23,196,6,+0:10,26.0,,Laporte Christophe,6,"Cofidis, Solutions Cr\xe9dits",",, ,,",,,,1,2016
24,171,7,+0:10,22.0,,Coquard Bryan,7,Direct Energie,",, ,,",,,,1,2016
28,144,8,+0:10,18.0,,Kristoff Alexander,8,Team Katusha,",, ,,",,,,1,2016
24,216,9,+0:10,14.0,,McLay Daniel,9,Fortuneo - Vital Concept,",, ,,",,,,1,2016
39,167,10,+0:10,10.0,,Henderson Gregory,10,Lotto Soudal,",, ,,",,,,1,2016
22,75,11,+0:10,8.0,,Enger Sondre Holst,11,IAM Cycling,",, ,,",,,,1,2016
24,67,12,+0:10,6.0,,Stuyven Jasper,12,Trek - Segafredo,",, ,,",,,,1,2016
24,111,13,+0:10,4.0,,Barguil Warren,13,Team Giant - Alpecin,",, ,,",,,,1,2016
24,182,14,+0:10,2.0,,Alaphilippe Julian,14,Etixx - Quick Step,",, ,,",,,,1,2016
27,113,15,+0:10,1.0,,Degenkolb John,15,Team Giant - Alpecin,",, ,,",,,,1,2016
33,108,16,+0:10,,,Renshaw Mark,16,Team Dimension Data,",, ,,",,,,1,2016
26,164,17,+0:10,,,Debusschere Jens,17,Lotto Soudal,",, ,,",,,,1,2016
36,64,18,+0:10,,,Rast Gregory,18,Trek - Segafredo,",, ,,",,,,1,2016
31,119,19,+0:10,,,Timmer Albert,19,Team Giant - Alpecin,",, ,,",,,,1,2016
33,186,20,+0:10,,,Richeze Ariel Maximiliano,20,Etixx - Quick Step,",, ,,",,,,1,2016
27,117,21,+0:10,,,Sinkeldam Ramon,21,Team Giant - Alpecin,",, ,,",,,,1,2016
31,82,22,+0:10,,,Breschel Matti,22,Cannondale-Drapac Pro Cycling Team,",, ,,",,,,1,2016
23,53,23,+0:10,,,Groenewegen Dylan,23,Team LottoNL-Jumbo,",, ,,",,,,1,2016
30,36,24,+0:10,,,Kreuziger Roman,24,Tinkoff,",, ,,",,,,1,2016
31,1,25,+0:10,,,Froome Christopher,25,Team Sky,",, ,,",,,,1,2016
32,14,26,+0:10,,,Erviti Imanol,26,Movistar Team,",, ,,",,,,1,2016
32,28,27,+0:10,,,Sanchez Luis Leon,27,Astana Pro Team,",, ,,",,,,1,2016
31,34,28,+0:10,,,Gatto Oscar,28,Tinkoff,",, ,,",,,,1,2016
27,19,29,+0:10,,,Oliveira Nelson,29,Movistar Team,",, ,,",,,,1,2016
26,11,30,+0:10,,,Quintana Nairo,30,Movistar Team,",, ,,",,,,1,2016
33,58,31,+0:10,,,Wagner Robert,31,Team LottoNL-Jumbo,",, ,,",,,,1,2016
31,98,32,+0:10,,,Van Avermaet Greg,32,BMC Racing Team,",, ,,",,,,1,2016
36,12,33,+0:10,,,Valverde Alejandro,33,Movistar Team,",, ,,",,,,1,2016
