Rnk,Rider,Age,Team,Pnt,GC,GC-Time,Time,year,stage
1,Zubeldia Haimar,25,Euskaltel - Euskadi,250,4,+2:44,28:41:34 28:41:34,2002,7
2,Menchov Denis,24,Ibanesto.com,190,6,+3:46,1:02 1:02,2002,7
3,Vogondy Nicolas,24,La Fran\xe7aise des Jeux,160,10,+7:09,4:25 4:25,2002,7
4,Talabardon S\xe9bastien,24,BigMat - Auber 93,140,17,+9:19,6:35 6:35,2002,7
5,Arrizabalaga Gorka,25,Euskaltel - Euskadi,120,26,+21:56,19:12 19:12,2002,7
6,Millar David,25,Cofidis,110,30,+25:01,22:17 22:17,2002,7
7,S\xe1nchez Samuel,24,Euskaltel - Euskadi,100,33,+25:56,23:12 23:12,2002,7
8,Portal Nicolas,23,AG2R Pr\xe9voyance,90,34,+26:10,23:26 23:26,2002,7
9,Bodo Thomas,21,La Fran\xe7aise des Jeux,80,37,+28:56,26:12 26:12,2002,7
10,Laurent Christophe,24,Jean Delatour,70,43,+33:00,30:16 30:16,2002,7
11,Casar Sandy,23,La Fran\xe7aise des Jeux,60,50,+38:15,35:31 35:31,2002,7
12,Astarloza Mikel,22,AG2R Pr\xe9voyance,55,53,+40:02,37:18 37:18,2002,7
13,Edaleine Christophe,22,Jean Delatour,50,54,+40:49,38:05 38:05,2002,7
14,Kashechkin Andrey,22,Domo - Farm Frites,45,65,+51:59,49:15 49:15,2002,7
15,Cooke Baden,23,La Fran\xe7aise des Jeux,40,67,+54:28,51:44 51:44,2002,7
16,Tankink Bram,23,Domo - Farm Frites,36,72,+56:26,53:42 53:42,2002,7
17,Brandt Christophe,25,Lotto - Adecco,32,73,+56:27,53:43 53:43,2002,7
18,van Goolen Jurgen,21,Domo - Farm Frites,28,78,+1:04:16,1:01:32 1:01:32,2002,7
