Rnk,Rider,Age,Team,Pnt,year,stage
1,Di Gr\xe9gorio R\xe9my,21,Fran\xe7aise des Jeux,126,2007,7
2,Possoni Morris,22,Lampre-Fondital,88,2007,7
3,Martinez Egoi,29,Discovery Channel,86,2007,7
4,Moreau Christophe,36,AG2R Pr\xe9voyance,73,2007,7
5,Botcharov Alexandre,32,Cr\xe9dit Agricole,65,2007,7
6,Iglinskiy Maxim,26,Astana,59,2007,7
7,Kohl Bernhard,25,Gerolsteiner,59,2007,7
8,Fedrigo Pierrick,28,Bouygues Telecom,52,2007,7
9,Vinokourov Alexandre,33,Astana,49,2007,7
10,Piepoli Leonardo,35,Saunier Duval,46,2007,7
11,Evans Cadel,30,Predictor - Lotto,42,2007,7
12,Kuchynski Aliaksandr,27,Liquigas,42,2007,7
13,Zabriskie David,28,CSC ProTeam,35,2007,7
14,Anton Igor,24,Euskaltel - Euskadi,33,2007,7
15,Calzati Sylvain,27,AG2R Pr\xe9voyance,29,2007,7
16,Leipheimer Levi,33,Discovery Channel,28,2007,7
17,Menchov Denis,29,Rabobank ProTeam,27,2007,7
18,Goubert Stephane,37,AG2R Pr\xe9voyance,26,2007,7
19,Astarloza Mikel,27,Euskaltel - Euskadi,24,2007,7
20,Contador Alberto,24,Discovery Channel,23,2007,7
21,Zandio Xabier,30,Caisse d'Epargne,23,2007,7
22,Beltran Manuel,36,Liquigas,22,2007,7
23,Gilbert Philippe,24,Fran\xe7aise des Jeux,20,2007,7
24,Zubeldia Haimar,30,Euskaltel - Euskadi,18,2007,7
25,Colom Antonio,29,Astana,17,2007,7
26,Chavanel Sylvain,27,Cofidis,14,2007,7
27,Seeldraeyers Kevin,20,Quickstep - Innergetic,13,2007,7
28,Pineau J\xe9rome,27,Bouygues Telecom,12,2007,7
29,Duque Leonardo,27,Cofidis,12,2007,7
30,Kashechkin Andrey,27,Astana,11,2007,7
31,Clement Stef,24,Bouygues Telecom,10,2007,7
32,Mugerli Matej,26,Liquigas,10,2007,7
33,Van Hecke Preben,24,Predictor - Lotto,9,2007,7
34,Charteau Anthony,28,Cr\xe9dit Agricole,9,2007,7
35,Willems Frederik,27,Liquigas,9,2007,7
36,B\xe4ckstedt Magnus,32,Liquigas,8,2007,7
37,Valjavec Tadej,30,Lampre-Fondital,8,2007,7
38,Lefevre Laurent,30,Bouygues Telecom,8,2007,7
39,Verdugo Gorka,28,Euskaltel - Euskadi,7,2007,7
40,Fofonov Dimitri,30,Cr\xe9dit Agricole,6,2007,7
41,Hushovd Thor,29,Cr\xe9dit Agricole,6,2007,7
42,Redondo Jose Antonio,22,Astana,4,2007,7
43,Franzoi Enrico,24,Lampre-Fondital,4,2007,7
44,Quinziato Manuel,27,Liquigas,3,2007,7
45,Haussler Heinrich,23,Gerolsteiner,3,2007,7
46,Delage Micka\xebl,21,Fran\xe7aise des Jeux,3,2007,7
47,Vansummeren Johan,26,Predictor - Lotto,2,2007,7
48,Vasseur C\xe9dric,36,Quickstep - Innergetic,2,2007,7
49,Cama\xf1o Iker,28,Saunier Duval,2,2007,7
50,de Groot Bram,32,Rabobank ProTeam,2,2007,7
51,Pereiro Oscar,29,Caisse d'Epargne,1,2007,7
52,Jur\u010do Matej,22,Milram,1,2007,7
53,Joly S\xe9bastien,27,Fran\xe7aise des Jeux,1,2007,7
54,Perez Ruben,25,Euskaltel - Euskadi,1,2007,7
55,Mikhailov Guennady,33,Astana,1,2007,7
56,Auge St\xe9phane,32,Cofidis,1,2007,7
