Rnk,Rider,Age,Team,GC,GC-Time,Time,year,stage
1,Coppel J\xe9rome,24,Saur - Sojasun,13.0,+7:13,23:20:57 23:20:57,2011,7
2,Hermans Ben,25,RadioShack,24.0,+21:02,1:21 1:21,2011,7
3,Ruijgh Rob,24,Vacansoleil - DCM,14.0,+9:02,2:44 2:44,2011,7
4,Taaram\xe4e Rein,24,Cofidis Le Credit en Ligne,45.0,+32:56,3:42 3:42,2011,7
5,Costa Rui,24,Movistar Team,43.0,+30:42,4:17 4:17,2011,7
6,Bouet Maxime,24,AG2R La Mondiale,23.0,+20:09,4:42 4:42,2011,7
7,Zeits Andrey,24,Pro Team Astana,15.0,+11:42,4:47 4:47,2011,7
8,Paterski Maciej,24,Liquigas - Cannondale,29.0,+24:58,6:23 6:23,2011,7
9,Rolland Pierre,24,Team Europcar,18.0,+13:08,6:50 6:50,2011,7
10,Pinot Thibaut,21,FDJ,16.0,+12:54,8:11 8:11,2011,7
11,Majka Rafa\u0142,21,Saxo Bank - Sungard,34.0,+27:06,8:31 8:31,2011,7
12,Gautier Cyril,23,Team Europcar,57.0,+38:59,9:45 9:45,2011,7
13,Gesink Robert,25,Rabobank Cycling Team,20.0,+16:17,11:34 11:34,2011,7
14,Martin Daniel,24,Team Garmin - Cerv\xe9lo,33.0,+26:56,12:58 12:58,2011,7
15,Amador Andrey,24,Movistar Team,,+ - 26:40:51,14:40 14:40,2011,7
16,Uran Rigoberto,24,Sky Procycling,28.0,+24:58,15:52 15:52,2011,7
17,Boasson Hagen Edvald,24,Sky Procycling,54.0,+36:10,16:29 16:29,2011,7
18,Koren Kristijan,24,Liquigas - Cannondale,59.0,+39:25,21:52 21:52,2011,7
19,Jeannesson Arnold,25,FDJ,67.0,+43:04,23:23 23:23,2011,7
20,Thomas Geraint,25,Sky Procycling,,+ - 26:40:51,24:24 24:24,2011,7
21,Schar Michael,24,BMC Racing Team,95.0,+1:50,32:36 32:36,2011,7
22,Smukulis Gatis,24,HTC - High Road,78.0,+53:03,33:22 33:22,2011,7
23,Malori Adriano,23,Lampre - ISD,101.0,+5:16,36:02 36:02,2011,7
24,Herrada Jes\xfas,20,Movistar Team,,+ - 26:40:51,38:38 38:38,2011,7
25,Bilbao Pello,21,Euskaltel - Euskadi,92.0,+0:22,41:47 41:47,2011,7
26,Ligthart Pim,22,Vacansoleil - DCM,107.0,+11:12,41:58 41:58,2011,7
27,Vermote Julien,21,Quickstep Cycling Team,,+ - 26:40:51,42:20 42:20,2011,7
28,Silin Egor,23,Team Katusha,98.0,+2:25,42:44 42:44,2011,7
29,Seeldraeyers Kevin,24,Quickstep Cycling Team,,+ - 26:40:51,43:11 43:11,2011,7
30,Intxausti Be\xf1at,25,Movistar Team,,+ - 26:40:51,47:03 47:03,2011,7
31,Degenkolb John,22,HTC - High Road,,+ - 26:40:51,50:46 50:46,2011,7
32,Ghyselinck Jan,23,HTC - High Road,,+ - 26:40:51,54:37 54:37,2011,7
33,Bessy Cyril,25,Saur - Sojasun,,+ - 26:40:51,57:35 57:35,2011,7
34,Vandousselaere Sven,22,Omega Pharma-Lotto,,+ - 26:40:51,2:33 2:33,2011,7
