Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
21,111,3,+0:09,,Jungels Bob,1,Trek Factory Racing,13:22 13:22,,,1,2014
23,191,5,+0:11,,Kelderman Wilco,2,Belkin-Pro Cycling Team,0:02 0:02,,,1,2014
24,92,10,+0:13,,Br\xe4ndle Matthias,3,IAM Cycling,0:04 0:04,,,1,2014
21,142,14,+0:14,,Alaphilippe Julian,4,Omega Pharma - Quick-Step,0:05 0:05,,,1,2014
24,141,20,+0:16,,Kwiatkowski Michal,5,Omega Pharma - Quick-Step,0:07 0:07,,,1,2014
21,43,26,+0:21,,Howson Damien,6,Orica GreenEDGE,0:12 0:12,,,1,2014
25,114,46,+0:31,,Nizzolo Giacomo,7,Trek Factory Racing,0:22 0:22,,,1,2014
21,178,47,+0:31,,Olivier Daan,8,Team Giant - Shimano,",, 0:22",,,1,2014
24,192,49,+0:31,,Bobridge Jack,9,Belkin-Pro Cycling Team,",, 0:22",,,1,2014
23,61,57,+0:36,,Bardet Romain,10,AG2R La Mondiale,0:27 0:27,,,1,2014
23,138,59,+0:37,,Vorobyev Anton,11,Team Katusha,0:28 0:28,,,1,2014
21,48,64,+0:39,,Yates Adam,12,Orica GreenEDGE,0:30 0:30,,,1,2014
21,66,65,+0:39,,Gougeard Alexis,13,AG2R La Mondiale,",, 0:30",,,1,2014
21,184,67,+0:41,,Conti Valerio,14,Lampre - Merida,0:32 0:32,,,1,2014
25,186,80,+0:44,,Favilli Elia,15,Lampre - Merida,0:35 0:35,,,1,2014
21,148,81,+0:44,,Verona Carlos,16,Omega Pharma - Quick-Step,",, 0:35",,,1,2014
22,22,86,+0:46,,Valgren Michael,17,Tinkoff - Saxo,0:37 0:37,,,1,2014
25,97,87,+0:46,,Reichenbach Sebastien,18,IAM Cycling,",, 0:37",,,1,2014
24,42,101,+0:53,,Howard Leigh,19,Orica GreenEDGE,0:44 0:44,,,1,2014
24,102,105,+0:54,,Bennett George,20,Cannondale,0:45 0:45,,,1,2014
25,73,107,+0:55,,Cousin J\xe9r\xf4me,21,Team Europcar,0:46 0:46,,,1,2014
24,136,111,+0:57,,Tsatevich Alexey,22,Team Katusha,0:48 0:48,,,1,2014
22,172,112,+0:58,,Arndt Nikias,23,Team Giant - Shimano,0:49 0:49,,,1,2014
22,155,115,+1:00,,D\xe9mare Arnaud,24,FDJ.fr,0:51 0:51,,,1,2014
22,151,116,+1:00,,Elissonde Kenny,25,FDJ.fr,",, 0:51",,,1,2014
23,72,117,+1:01,,Berhane Natnael,26,Team Europcar,0:52 0:52,,,1,2014
24,125,118,+1:01,,Nerz Dominik,27,BMC Racing Team,",, 0:52",,,1,2014
24,183,121,+1:03,,Cimolai Davide,28,Lampre - Merida,0:54 0:54,,,1,2014
25,177,122,+1:03,,Janse van Rensburg Reinardt,29,Team Giant - Shimano,",, 0:54",,,1,2014
24,208,125,+1:06,,Thwaites Scott,30,Team NetApp \u2013 Endura,0:57 0:57,,,1,2014
25,171,133,+1:10,,Damuseau Thomas,31,Team Giant - Shimano,1:01 1:01,,,1,2014
24,83,139,+1:14,,Broeckx Stig,32,Lotto Belisol,1:05 1:05,,,1,2014
24,205,140,+1:15,,Matzka Ralf,33,Team NetApp \u2013 Endura,1:06 1:06,,,1,2014
22,166,153,+1:24,,Morton Lachlan,34,Garmin Sharp,1:15 1:15,,,1,2014
22,198,157,+1:31,,van der Lijke Nick,35,Belkin-Pro Cycling Team,1:22 1:22,,,1,2014
24,27,162,+1:38,,Beltran Edward,36,Tinkoff - Saxo,1:29 1:29,,,1,2014
24,56,166,+1:56,,Sanz Enrique,37,Movistar Team,1:47 1:47,,,1,2014
22,188,168,+2:09,,Wackermann Luca,38,Lampre - Merida,2:00 2:00,,,1,2014
23,191,3,+0:21,2.0,Kelderman Wilco,1,Belkin-Pro Cycling Team,4:38:05 4:38:05,,\u25b21,2,2014
21,48,9,+1:31,12.0,Yates Adam,2,Orica GreenEDGE,1:10 1:10,,\u25b210,2,2014
25,97,11,+1:40,18.0,Reichenbach Sebastien,3,IAM Cycling,1:19 1:19,,\u25b215,2,2014
22,151,15,+2:01,25.0,Elissonde Kenny,4,FDJ.fr,1:40 1:40,,\u25b221,2,2014
23,61,16,+2:19,10.0,Bardet Romain,5,AG2R La Mondiale,1:58 1:58,,\u25b25,2,2014
24,141,20,+2:37,5.0,Kwiatkowski Michal,6,Omega Pharma - Quick-Step,2:16 2:16,,\u25bc1,2,2014
24,102,21,+2:37,20.0,Bennett George,7,Cannondale,",, 2:16",,\u25b213,2,2014
21,184,29,+3:24,14.0,Conti Valerio,8,Lampre - Merida,3:03 3:03,,\u25b26,2,2014
21,142,40,+4:50,4.0,Alaphilippe Julian,9,Omega Pharma - Quick-Step,4:29 4:29,,\u25bc5,2,2014
21,148,58,+7:48,16.0,Verona Carlos,10,Omega Pharma - Quick-Step,7:27 7:27,,\u25b26,2,2014
21,178,60,+8:09,8.0,Olivier Daan,11,Team Giant - Shimano,7:48 7:48,,\u25bc3,2,2014
24,27,66,+9:54,36.0,Beltran Edward,12,Tinkoff - Saxo,9:33 9:33,,\u25b224,2,2014
21,43,69,+10:58,6.0,Howson Damien,13,Orica GreenEDGE,10:37 10:37,,\u25bc7,2,2014
21,111,72,+11:07,1.0,Jungels Bob,14,Trek Factory Racing,10:46 10:46,,\u25bc13,2,2014
25,171,76,+11:47,31.0,Damuseau Thomas,15,Team Giant - Shimano,11:26 11:26,,\u25b216,2,2014
23,72,101,+13:29,26.0,Berhane Natnael,16,Team Europcar,13:08 13:08,,\u25b210,2,2014
24,125,102,+13:29,27.0,Nerz Dominik,17,BMC Racing Team,",, 13:08",,\u25b210,2,2014
24,83,106,+13:42,32.0,Broeckx Stig,18,Lotto Belisol,13:21 13:21,,\u25b214,2,2014
24,92,115,+15:29,3.0,Br\xe4ndle Matthias,19,IAM Cycling,15:08 15:08,,\u25bc16,2,2014
21,66,117,+15:51,13.0,Gougeard Alexis,20,AG2R La Mondiale,15:30 15:30,,\u25bc7,2,2014
24,192,123,+19:22,9.0,Bobridge Jack,21,Belkin-Pro Cycling Team,19:01 19:01,,\u25bc12,2,2014
23,138,126,+19:28,11.0,Vorobyev Anton,22,Team Katusha,19:07 19:07,,\u25bc11,2,2014
25,186,127,+19:35,15.0,Favilli Elia,23,Lampre - Merida,19:14 19:14,,\u25bc8,2,2014
25,177,131,+19:47,29.0,Janse van Rensburg Reinardt,24,Team Giant - Shimano,19:26 19:26,,\u25b25,2,2014
22,172,132,+19:49,23.0,Arndt Nikias,25,Team Giant - Shimano,19:28 19:28,,\u25bc2,2,2014
25,114,133,+19:53,7.0,Nizzolo Giacomo,26,Trek Factory Racing,19:32 19:32,,\u25bc19,2,2014
24,208,135,+19:57,30.0,Thwaites Scott,27,Team NetApp \u2013 Endura,19:36 19:36,,\u25b23,2,2014
22,166,144,+20:15,34.0,Morton Lachlan,28,Garmin Sharp,19:54 19:54,,\u25b26,2,2014
22,198,145,+20:22,35.0,van der Lijke Nick,29,Belkin-Pro Cycling Team,20:01 20:01,,\u25b26,2,2014
22,22,148,+21:05,17.0,Valgren Michael,30,Tinkoff - Saxo,20:44 20:44,,\u25bc13,2,2014
25,73,150,+21:14,21.0,Cousin J\xe9r\xf4me,31,Team Europcar,20:53 20:53,,\u25bc10,2,2014
24,136,151,+21:16,22.0,Tsatevich Alexey,32,Team Katusha,20:55 20:55,,\u25bc10,2,2014
22,155,152,+21:19,24.0,D\xe9mare Arnaud,33,FDJ.fr,20:58 20:58,,\u25bc9,2,2014
24,205,156,+21:34,33.0,Matzka Ralf,34,Team NetApp \u2013 Endura,21:13 21:13,,\u25bc1,2,2014
24,183,160,+21:56,28.0,Cimolai Davide,35,Lampre - Merida,21:35 21:35,,\u25bc7,2,2014
22,188,163,+22:28,38.0,Wackermann Luca,36,Lampre - Merida,22:07 22:07,,\u25b22,2,2014
24,56,165,+24:59,37.0,Sanz Enrique,37,Movistar Team,24:38 24:38,,-,2,2014
23,191,3,+0:21,1.0,Kelderman Wilco,1,Belkin-Pro Cycling Team,10:08:08 10:08:08,,-,3,2014
21,48,9,+1:31,2.0,Yates Adam,2,Orica GreenEDGE,1:10 1:10,,-,3,2014
25,97,11,+1:40,3.0,Reichenbach Sebastien,3,IAM Cycling,1:19 1:19,,-,3,2014
22,151,15,+2:01,4.0,Elissonde Kenny,4,FDJ.fr,1:40 1:40,,-,3,2014
23,61,16,+2:19,5.0,Bardet Romain,5,AG2R La Mondiale,1:58 1:58,,-,3,2014
24,141,20,+2:37,6.0,Kwiatkowski Michal,6,Omega Pharma - Quick-Step,2:16 2:16,,-,3,2014
24,102,21,+2:37,7.0,Bennett George,7,Cannondale,",, 2:16",,-,3,2014
21,184,29,+3:24,8.0,Conti Valerio,8,Lampre - Merida,3:03 3:03,,-,3,2014
21,142,39,+5:14,9.0,Alaphilippe Julian,9,Omega Pharma - Quick-Step,4:53 4:53,,-,3,2014
21,178,58,+8:09,11.0,Olivier Daan,10,Team Giant - Shimano,7:48 7:48,,\u25b21,3,2014
21,148,59,+8:12,10.0,Verona Carlos,11,Omega Pharma - Quick-Step,7:51 7:51,,\u25bc1,3,2014
24,27,65,+9:54,12.0,Beltran Edward,12,Tinkoff - Saxo,9:33 9:33,,-,3,2014
25,171,73,+11:47,15.0,Damuseau Thomas,13,Team Giant - Shimano,11:26 11:26,,\u25b22,3,2014
21,111,77,+12:00,14.0,Jungels Bob,14,Trek Factory Racing,11:39 11:39,,-,3,2014
21,43,78,+12:02,13.0,Howson Damien,15,Orica GreenEDGE,11:41 11:41,,\u25bc2,3,2014
