Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
23,16,4,+1:07,,Latour Pierre,1,AG2R La Mondiale,4:18:01 4:18:01,,1,2017
24,193,5,+1:07,,Buchmann Emanuel,2,BORA - hansgrohe,",, ,,",,1,2017
25,78,10,+1:09,,Valgren Michael,3,Astana Pro Team,0:02 0:02,,1,2017
23,103,14,+1:09,,Benoot Tiesj,4,Lotto Soudal,",, 0:02",,1,2017
23,152,18,+1:09,,Bettiol Alberto,5,Cannondale-Drapac Pro Cycling Team,",, 0:02",,1,2017
23,201,19,+1:09,,Martin Guillaume,6,Wanty - Groupe Gobert,",, 0:02",,1,2017
21,138,27,+1:09,,Oomen Sam,7,Team Sunweb,",, 0:02",,1,2017
25,181,34,+1:09,,Meintjes Louis,8,UAE Team Emirates,",, 0:02",,1,2017
25,84,38,+1:09,,De Tier Floris,9,Team LottoNL-Jumbo,",, 0:02",,1,2017
22,24,41,+1:09,,Mas Enric,10,Quick-Step Floors,",, 0:02",,1,2017
20,114,43,+1:09,,Gaudu David,11,FDJ,",, 0:02",,1,2017
24,68,44,+1:09,,Yates Simon,12,ORICA-Scott,",, 0:02",,1,2017
25,122,56,+2:19,,Bystr\xf8m Sven Erik,13,Team Katusha - Alpecin,1:12 1:12,,1,2017
24,156,57,+2:19,,Formolo Davide,14,Cannondale-Drapac Pro Cycling Team,",, 1:12",,1,2017
25,154,58,+2:19,,Canty Brendan,15,Cannondale-Drapac Pro Cycling Team,",, 1:12",,1,2017
24,53,67,+2:19,,Carapaz Richard,16,Movistar Team,",, 1:12",,1,2017
24,58,68,+2:19,,S\xfctterlin Jasha,17,Movistar Team,",, 1:12",,1,2017
24,75,69,+2:19,,Lutsenko Alexey,18,Astana Pro Team,",, 1:12",,1,2017
23,97,71,+2:19,,Turgis Anthony,19,"Cofidis, Solutions Cr\xe9dits",",, 1:12",,1,2017
24,26,77,+2:19,,Vakoc Petr,20,Quick-Step Floors,",, 1:12",,1,2017
23,118,78,+2:19,,Maison J\xe9r\xe9my,21,FDJ,",, 1:12",,1,2017
23,194,81,+3:03,,Herklotz Silvio,22,BORA - hansgrohe,1:56 1:56,,1,2017
23,44,83,+4:47,,Gogl Michael,23,Trek - Segafredo,3:40 3:40,,1,2017
23,63,85,+5:34,,Haig Jack,24,ORICA-Scott,4:27 4:27,,1,2017
25,158,87,+5:57,,van Baarle Dylan,25,Cannondale-Drapac Pro Cycling Team,4:50 4:50,,1,2017
25,217,88,+5:57,,Pacher Quentin,26,Delko Marseille Provence KTM,",, 4:50",,1,2017
24,147,92,+5:57,,Nibali Antonio,27,Bahrain Merida Pro Cycling Team,",, 4:50",,1,2017
23,127,93,+6:34,,Politt Nils,28,Team Katusha - Alpecin,5:27 5:27,,1,2017
22,88,96,+6:55,,Vermeulen Alexey,29,Team LottoNL-Jumbo,5:48 5:48,,1,2017
20,105,98,+6:55,,Shaw James,30,Lotto Soudal,",, 5:48",,1,2017
24,64,100,+7:01,,Howson Damien,31,ORICA-Scott,5:54 5:54,,1,2017
21,174,103,+8:17,,O'Connor Ben,32,Team Dimension Data,7:10 7:10,,1,2017
24,52,106,+8:17,,Arcas Jorge,33,Movistar Team,",, 7:10",,1,2017
23,128,107,+8:17,,Zabel Rick,34,Team Katusha - Alpecin,",, 7:10",,1,2017
24,206,110,+8:17,,Smith Dion,35,Wanty - Groupe Gobert,",, 7:10",,1,2017
23,34,120,+8:17,,Frankiny Kilian,36,BMC Racing Team,",, 7:10",,1,2017
22,137,124,+8:17,,Hofstede Lennard,37,Team Sunweb,",, 7:10",,1,2017
23,83,125,+8:17,,Bouwman Koen,38,Team LottoNL-Jumbo,",, 7:10",,1,2017
25,161,130,+13:18,,Coquard Bryan,39,Direct Energie,12:11 12:11,,1,2017
23,86,132,+13:18,,Tolhoek Antwan,40,Team LottoNL-Jumbo,",, 12:11",,1,2017
23,117,138,+13:18,,Le Gac Olivier,41,FDJ,",, 12:11",,1,2017
25,74,146,+13:18,,Kozhatayev Bakhtiyar,42,Astana Pro Team,",, 12:11",,1,2017
23,85,150,+13:18,,Jansen Amund Grondahl,43,Team LottoNL-Jumbo,",, 12:11",,1,2017
23,188,167,+16:11,,Zurlo Federico,44,UAE Team Emirates,15:04 15:04,,1,2017
22,132,169,+16:11,,Bauhaus Phil,45,Team Sunweb,",, 15:04",,1,2017
23,192,173,+16:11,,Ackermann Pascal,46,BORA - hansgrohe,",, 15:04",,1,2017
23,16,4,+1:07,1.0,Latour Pierre,1,AG2R La Mondiale,8:31:54 8:31:54,-,2,2017
