Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
24,25,3.0,+0:03,,,Moscon Gianni,1,Team Sky,7:28 7:28,,0,2018
24,132,11.0,+0:11,,,Edmondson Alexander,2,Mitchelton-Scott,0:08 0:08,,0,2018
22,116,18.0,+0:14,,,Thomas Benjamin,3,Groupama - FDJ,0:11 0:11,,0,2018
21,185,20.0,+0:14,,,Powless Neilson,4,Team LottoNL-Jumbo,",, 0:11",,0,2018
22,102,22.0,+0:15,,,De Plus Laurens,5,Quick-Step Floors,0:12 0:12,,0,2018
22,213,28.0,+0:17,,,Ermenault Corentin,6,Vital Concept Cycling Club,0:14 0:14,,0,2018
24,43,32.0,+0:18,,,Bohli Tom,7,BMC Racing Team,0:15 0:15,,0,2018
23,23,35.0,+0:18,,,Geoghegan Hart Tao,8,Team Sky,",, 0:15",,0,2018
24,91,39.0,+0:20,,,Soler Marc,9,Movistar Team,0:17 0:17,,0,2018
22,133,49.0,+0:23,,,Hamilton Lucas,10,Mitchelton-Scott,0:20 0:20,,0,2018
22,117,51.0,+0:23,,,Vincent L\xe9o,11,Groupama - FDJ,",, 0:20",,0,2018
22,94,52.0,+0:23,,,Castrillo Jaime,12,Movistar Team,",, 0:20",,0,2018
24,197,53.0,+0:23,,,Tusveld Martijn,13,Team Sunweb,",, 0:20",,0,2018
22,53,55.0,+0:23,,,Garcia Cortina Ivan,14,Bahrain Merida Pro Cycling Team,",, 0:20",,0,2018
23,192,57.0,+0:24,,,Bauhaus Phil,15,Team Sunweb,0:21 0:21,,0,2018
24,71,59.0,+0:24,,,Benoot Tiesj,16,Lotto Soudal,",, 0:21",,0,2018
25,96,61.0,+0:25,,,Roson Jaime,17,Movistar Team,0:22 0:22,,0,2018
24,35,64.0,+0:26,,,Latour Pierre,18,AG2R La Mondiale,0:23 0:23,,0,2018
24,112,65.0,+0:26,,,Armirail Bruno,19,Groupama - FDJ,",, 0:23",,0,2018
25,13,67.0,+0:27,,,Conti Valerio,20,UAE-Team Emirates,0:24 0:24,,0,2018
25,34,70.0,+0:28,,,Gougeard Alexis,21,AG2R La Mondiale,0:25 0:25,,0,2018
23,127,71.0,+0:28,,,Restrepo Jhonatan,22,Team Katusha - Alpecin,",, 0:25",,0,2018
25,167,84.0,+0:32,,,Smith Dion,23,Wanty - Groupe Gobert,0:29 0:29,,0,2018
23,93,85.0,+0:33,,,Carretero H\xe9ctor,24,Movistar Team,0:30 0:30,,0,2018
21,111,86.0,+0:33,,,Gaudu David,25,Groupama - FDJ,",, 0:30",,0,2018
23,195,91.0,+0:34,,,Hamilton Chris,26,Team Sunweb,0:31 0:31,,0,2018
23,123,95.0,+0:35,,,Fabbro Matteo,27,Team Katusha - Alpecin,0:32 0:32,,0,2018
23,174,97.0,+0:35,,,Gebreigzabhier Amanuel,28,Team Dimension Data,",, 0:32",,0,2018
24,181,98.0,+0:35,,,Tolhoek Antwan,29,Team LottoNL-Jumbo,",, 0:32",,0,2018
23,16,100.0,+0:36,,,Ravasi Edward,30,UAE-Team Emirates,0:33 0:33,,0,2018
24,87,106.0,+0:36,,,Turgis Anthony,31,"Cofidis, Solutions Cr\xe9dits",",, 0:33",,0,2018
23,136,107.0,+0:36,,,Power Robert,32,Mitchelton-Scott,",, 0:33",,0,2018
24,62,109.0,+0:37,,,Ackermann Pascal,33,BORA - hansgrohe,0:34 0:34,,0,2018
25,15,119.0,+0:40,,,Petilli Simone,34,UAE-Team Emirates,0:37 0:37,,0,2018
22,105,122.0,+0:41,,,Knox James,35,Quick-Step Floors,0:38 0:38,,0,2018
22,173,123.0,+0:41,,,Dlamini Nickolas,36,Team Dimension Data,",, 0:38",,0,2018
