Rnk,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
1,141,Kreuziger Roman,25,Pro Team Astana,5,+5:18,84:16:42 84:16:42,2011,20
2,173,Kruijswijk Steven,23,Rabobank Cycling Team,8,+7:41,2:23 2:23,2011,20
3,208,Stetina Peter,23,Team Garmin - Cerv\xe9lo,21,+43:59,38:41 38:41,2011,20
4,131,Bakelants Jan,25,Omega Pharma-Lotto,22,+48:57,43:39 43:39,2011,20
5,134,De Clercq Bart,24,Omega Pharma-Lotto,26,+58:15,52:57 52:57,2011,20
6,8,Sarmiento Jose Cayetano,24,Acqua & Sapone,32,+1:11:19,1:06:01 1:06:01,2011,20
7,38,Wyss Danilo,25,BMC Racing Team,125,+3:41:03,1:07:16 1:07:16,2011,20
8,94,Ulissi Diego,21,Lampre - ISD,40,+1:25:32,1:20:14 1:20:14,2011,20
9,144,Ki\u0161erlovski Robert,24,Pro Team Astana,42,+1:27:28,1:22:10 1:22:10,2011,20
10,168,Seeldraeyers Kevin,24,Quickstep Cycling Team,49,+1:47:40,1:42:22 1:42:22,2011,20
11,4,Betancur Carlos,21,Acqua & Sapone,58,+2:07:25,2:02:07 2:02:07,2011,20
12,113,Capecchi Eros,24,Liquigas - Cannondale,59,+2:09:22,2:04:04 2:04:04,2011,20
13,44,Pirazzi Stefano,24,Colnago - CSF Inox,60,+2:09:41,2:04:23 2:04:23,2011,20
14,13,Ch\xe9rel Micka\xebl,25,AG2R La Mondiale,61,+2:10:48,2:05:30 2:05:30,2011,20
15,218,Rovny Ivan,23,RadioShack,77,+2:35:29,2:30:11 2:30:11,2011,20
16,33,Frank Mathias,24,BMC Racing Team,84,+2:44:45,2:39:27 2:39:27,2011,20
17,198,Kennaugh Peter,21,Sky Procycling,86,+2:47:57,2:42:39 2:42:39,2011,20
18,17,Gastauer Ben,23,AG2R La Mondiale,87,+2:48:35,2:43:17 2:43:17,2011,20
19,203,Peterson Tom,24,Team Garmin - Cerv\xe9lo,88,+2:49:37,2:44:19 2:44:19,2011,20
20,48,Brambilla Gianluca,23,Colnago - CSF Inox,94,+3:01:52,2:56:34 2:56:34,2011,20
21,135,Dockx Gert,22,Omega Pharma-Lotto,95,+3:02:51,2:57:33 2:57:33,2011,20
22,24,De Marchi Alessandro,25,Androni Giocattoli - Serramenti PVC Diquigiovanni,108,+3:16:10,3:10:52 3:10:52,2011,20
23,154,Rabottini Matteo,23,Farnese Vini-Neri-Sottoli,112,+3:20:18,3:15:00 3:15:00,2011,20
24,56,Aramendia Javier,24,Euskaltel - Euskadi,114,+3:28:04,3:22:46 3:22:46,2011,20
25,99,Spilak Simon,24,Lampre - ISD,116,+3:30:23,3:25:05 3:25:05,2011,20
26,178,van Winden Dennis,23,Rabobank Cycling Team,120,+3:38:28,3:33:10 3:33:10,2011,20
27,12,B\xe9rard Julien,23,AG2R La Mondiale,122,+3:38:58,3:33:40 3:33:40,2011,20
28,219,Selander Bjorn,23,RadioShack,128,+3:44:03,3:38:45 3:38:45,2011,20
29,53,Minguez Miguel,22,Euskaltel - Euskadi,134,+3:56:07,3:50:49 3:50:49,2011,20
30,206,Meyer Cameron,23,Team Garmin - Cerv\xe9lo,136,+3:58:54,3:53:36 3:53:36,2011,20
31,73,Gretsch Patrick,24,HTC - High Road,137,+4:00:23,3:55:05 3:55:05,2011,20
32,166,Malacarne Davide,23,Quickstep Cycling Team,145,+4:06:55,4:01:37 4:01:37,2011,20
33,139,Lodewyck Klaas,23,Omega Pharma-Lotto,146,+4:07:48,4:02:30 4:02:30,2011,20
34,32,Beyer Chad,24,BMC Racing Team,151,+4:23:26,4:18:08 4:18:08,2011,20
35,35,Kristoff Alexander,23,BMC Racing Team,156,+4:36:28,4:31:10 4:31:10,2011,20
36,156,Favilli Elia,22,Farnese Vini-Neri-Sottoli,157,+4:41:36,4:36:18 4:36:18,2011,20
