Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
24,78,2.0,+0:08,,,Viviani Elia,1,Cannondale Pro Cycling Team,2:58:26 2:58:26,,1,2013
22,100,3.0,+0:12,,,Bouhanni Nacer,2,FDJ.fr,0:04 0:04,,1,2013
24,175,6.0,+0:20,,,Nizzolo Giacomo,3,RadioShack - Leopard,0:12 0:12,,1,2013
23,62,9.0,+0:20,,,Blythe Adam,4,BMC Racing Team,",, 0:12",,1,2013
23,163,10.0,+0:20,,,Howard Leigh,5,Orica GreenEDGE,",, 0:12",,1,2013
24,191,12.0,+0:20,,,Degenkolb John,6,Team Argos - Shimano,",, 0:12",,1,2013
24,27,15.0,+0:20,,,Rosa Diego,7,Androni Giocattoli - Venezuela,",, 0:12",,1,2013
25,7,16.0,+0:20,,,Navardauskas Ramunas,8,Garmin Sharp,",, 0:12",,1,2013
24,4,21.0,+0:20,,,Haas Nathan,9,Garmin Sharp,",, 0:12",,1,2013
22,67,23.0,+0:20,,,Phinney Taylor,10,BMC Racing Team,",, 0:12",,1,2013
23,186,32.0,+0:20,,,Puccio Salvatore,11,Sky Procycling,",, 0:12",,1,2013
24,176,45.0,+0:20,,,Oliveira Nelson,12,RadioShack - Leopard,",, 0:12",,1,2013
22,33,53.0,+0:20,,,Aru Fabio,13,Astana Pro Team,",, 0:12",,1,2013
23,201,56.0,+0:20,,,Majka Rafa\u0142,14,Team Saxo - Tinkoff,",, 0:12",,1,2013
24,143,57.0,+0:20,,,Dowsett Alex,15,Movistar Team,",, 0:12",,1,2013
23,15,60.0,+0:20,,,Betancur Carlos,16,AG2R La Mondiale,",, 0:12",,1,2013
22,46,66.0,+0:20,,,Colbrelli Sonny,17,Bardiani Valvole - CSF Inox,",, 0:12",,1,2013
22,162,72.0,+0:20,,,Durbridge Luke,18,Orica GreenEDGE,",, 0:12",,1,2013
23,43,74.0,+0:20,,,Boem Nicola,19,Bardiani Valvole - CSF Inox,",, 0:12",,1,2013
24,47,85.0,+0:20,,,Locatelli Stefano,20,Bardiani Valvole - CSF Inox,",, 0:12",,1,2013
22,55,92.0,+0:20,,,Kelderman Wilco,21,Blanco Pro Cycling Team,",, 0:12",,1,2013
23,23,94.0,+0:20,,,Felline Fabio,22,Androni Giocattoli - Venezuela,",, 0:12",,1,2013
24,136,96.0,+0:20,,,Dockx Gert,23,Lotto Belisol Team,",, 0:12",,1,2013
22,122,104.0,+0:20,,,Cattaneo Mattia,24,Lampre - Merida,",, 0:12",,1,2013
24,198,107.0,+0:20,,,Mezgec Luka,25,Team Argos - Shimano,",, 0:12",,1,2013
23,12,111.0,+0:20,,,Appollonio Davide,26,AG2R La Mondiale,",, 0:12",,1,2013
23,171,115.0,+0:20,,,Bennett George,27,RadioShack - Leopard,",, 0:12",,1,2013
22,44,118.0,+0:20,,,Bongiorno Francesco Manuel,28,Bardiani Valvole - CSF Inox,",, 0:12",,1,2013
25,81,123.0,+0:20,,,Atapuma John Darwin,29,Team Colombia,",, 0:12",,1,2013
23,219,132.0,+0:20,,,Wauters Willem,30,Vacansoleil - DCM,",, 0:12",,1,2013
24,179,137.0,+0:20,,,Sergent Jesse,31,RadioShack - Leopard,",, 0:12",,1,2013
24,192,142.0,+0:20,,,Damuseau Thomas,32,Team Argos - Shimano,",, 0:12",,1,2013
24,45,145.0,+0:20,,,Canola Marco,33,Bardiani Valvole - CSF Inox,",, 0:12",,1,2013
23,49,147.0,+0:20,,,Zardini Edoardo,34,Bardiani Valvole - CSF Inox,",, 0:12",,1,2013
23,42,149.0,+0:20,,,Battaglin Enrico,35,Bardiani Valvole - CSF Inox,",, 0:12",,1,2013
24,95,155.0,+0:20,,,Minguez Miguel,36,Euskaltel - Euskadi,",, 0:12",,1,2013
22,197,156.0,+0:20,,,Ludvigsson Tobias,37,Team Argos - Shimano,",, 0:12",,1,2013
24,88,164.0,+0:20,,,Pantano Jarlinson,38,Team Colombia,",, 0:12",,1,2013
22,214,167.0,+0:20,,,Lammertink Maurits,39,Vacansoleil - DCM,",, 0:12",,1,2013
22,104,168.0,+0:20,,,Le Bon Johan,40,FDJ.fr,",, 0:12",,1,2013
25,64,178.0,+0:20,,,Lodewyck Klaas,41,BMC Racing Team,",, 0:12",,1,2013
23,158,179.0,+0:20,,,Trentin Matteo,42,Omega Pharma - Quick-Step,",, 0:12",,1,2013
24,164,182.0,+0:20,,,Keukeleire Jens,43,Orica GreenEDGE,",, 0:12",,1,2013
23,82,183.0,+0:20,,,Avila Edwin,44,Team Colombia,",, 0:12",,1,2013
25,213,195.0,+2:58,,,Keizer Martijn,45,Vacansoleil - DCM,2:50 2:50,,1,2013
23,52,197.0,+2:58,,,Bobridge Jack,46,Blanco Pro Cycling Team,",, 2:50",,1,2013
24,215,201.0,+2:58,,,Ligthart Pim,47,Vacansoleil - DCM,",, 2:50",,1,2013
25,133,203.0,+3:23,,,Bulgac Brian,48,Lotto Belisol Team,3:15 3:15,,1,2013
23,159,204.0,+3:25,,,Vermote Julien,49,Omega Pharma - Quick-Step,3:17 3:17,,1,2013
30,149,,,3.0,1.0,Visconti Giovanni,1,Movistar Team,,-,2,2013
29,79,,,3.0,2.0,Wurf Cameron,2,Cannondale Pro Cycling Team,,-,2,2013
25,16,,,3.0,3.0,Bonnafond Guillaume,3,AG2R La Mondiale,,-,2,2013
24,45,,,2.0,4.0,Canola Marco,4,Bardiani Valvole - CSF Inox,,-,2,2013
25,213,,,1.0,5.0,Keizer Martijn,5,Vacansoleil - DCM,,-,2,2013
22,33,18.0,+1:05,,3.0,Aru Fabio,1,Astana Pro Team,9:05:37 9:05:37,\u25b22,3,2013
23,201,25.0,+1:34,,18.0,Majka Rafa\u0142,2,Team Saxo - Tinkoff,0:29 0:29,\u25b216,3,2013
23,15,28.0,+1:41,,23.0,Betancur Carlos,3,AG2R La Mondiale,0:36 0:36,\u25b220,3,2013
22,55,37.0,+2:21,,9.0,Kelderman Wilco,4,Blanco Pro Cycling Team,1:16 1:16,\u25b25,3,2013
24,27,38.0,+2:24,,21.0,Rosa Diego,5,Androni Giocattoli - Venezuela,1:19 1:19,\u25b216,3,2013
22,44,42.0,+2:34,,15.0,Bongiorno Francesco Manuel,6,Bardiani Valvole - CSF Inox,1:29 1:29,\u25b29,3,2013
25,81,54.0,+2:49,,26.0,Atapuma John Darwin,7,Team Colombia,1:44 1:44,\u25b219,3,2013
23,42,64.0,+3:27,,39.0,Battaglin Enrico,8,Bardiani Valvole - CSF Inox,2:22 2:22,\u25b231,3,2013
23,23,70.0,+4:29,,38.0,Felline Fabio,9,Androni Giocattoli - Venezuela,3:24 3:24,\u25b229,3,2013
24,88,74.0,+5:21,,27.0,Pantano Jarlinson,10,Team Colombia,4:16 4:16,\u25b217,3,2013
23,186,76.0,+7:06,,1.0,Puccio Salvatore,11,Sky Procycling,6:01 6:01,\u25bc10,3,2013
24,143,77.0,+8:37,,2.0,Dowsett Alex,12,Movistar Team,7:32 7:32,\u25bc10,3,2013
22,122,80.0,+8:50,,4.0,Cattaneo Mattia,13,Lampre - Merida,7:45 7:45,\u25bc9,3,2013
24,78,82.0,+8:51,,5.0,Viviani Elia,14,Cannondale Pro Cycling Team,7:46 7:46,\u25bc9,3,2013
22,162,85.0,+8:56,,8.0,Durbridge Luke,15,Orica GreenEDGE,7:51 7:51,\u25bc7,3,2013
23,219,86.0,+8:56,,11.0,Wauters Willem,16,Vacansoleil - DCM,",, 7:51",\u25bc5,3,2013
24,164,88.0,+8:56,,10.0,Keukeleire Jens,17,Orica GreenEDGE,",, 7:51",\u25bc7,3,2013
23,43,94.0,+9:09,,13.0,Boem Nicola,18,Bardiani Valvole - CSF Inox,8:04 8:04,\u25bc5,3,2013
24,47,95.0,+9:09,,14.0,Locatelli Stefano,19,Bardiani Valvole - CSF Inox,",, 8:04",\u25bc5,3,2013
23,49,96.0,+9:09,,16.0,Zardini Edoardo,20,Bardiani Valvole - CSF Inox,",, 8:04",\u25bc4,3,2013
23,171,97.0,+9:11,,19.0,Bennett George,21,RadioShack - Leopard,8:06 8:06,\u25bc2,3,2013
23,158,99.0,+9:16,,22.0,Trentin Matteo,22,Omega Pharma - Quick-Step,8:11 8:11,-,3,2013
22,46,109.0,+9:32,,28.0,Colbrelli Sonny,23,Bardiani Valvole - CSF Inox,8:27 8:27,\u25b25,3,2013
