Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
1,2.0,\u25b21,155,Matthews Michael,23,Orica GreenEDGE,1.0,+0:00,5:37:54 5:37:54,2014,2
2,1.0,\u25bc1,152,Durbridge Luke,23,Orica GreenEDGE,2.0,+0:03,0:03 0:03,2014,2
3,3.0,-,149,Vermote Julien,24,Omega Pharma - Quick-Step,12.0,+0:08,0:08 0:08,2014,2
4,4.0,-,53,Eijssen Yannick,24,BMC Racing Team,18.0,+0:12,0:12 0:12,2014,2
5,7.0,\u25b22,205,Poljanski Pawel,24,Tinkoff - Saxo,22.0,+0:26,0:26 0:26,2014,2
6,8.0,\u25b22,203,Majka Rafa\u0142,24,Tinkoff - Saxo,25.0,+0:26,",, 0:26",2014,2
7,6.0,\u25bc1,208,McCarthy Jay,21,Tinkoff - Saxo,26.0,+0:26,",, 0:26",2014,2
8,5.0,\u25bc3,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,29.0,+0:26,",, 0:26",2014,2
9,10.0,\u25b21,195,Henao Sebasti\xe1n,20,Team Sky,34.0,+0:38,0:38 0:38,2014,2
10,9.0,\u25bc1,197,Puccio Salvatore,24,Team Sky,35.0,+0:38,",, 0:38",2014,2
11,11.0,-,3,Aru Fabio,23,Astana Pro Team,39.0,+0:41,0:41 0:41,2014,2
12,12.0,-,7,Landa Mikel,24,Astana Pro Team,44.0,+0:41,",, 0:41",2014,2
13,13.0,-,69,Viviani Elia,25,Cannondale,48.0,+0:53,0:53 0:53,2014,2
14,21.0,\u25b27,216,Nizzolo Giacomo,25,Trek Factory Racing,50.0,+0:56,0:56 0:56,2014,2
15,16.0,\u25b21,66,Moser Moreno,23,Cannondale,51.0,+0:56,",, 0:56",2014,2
16,15.0,\u25bc1,67,Ratto Daniele,24,Cannondale,54.0,+0:56,",, 0:56",2014,2
17,14.0,\u25bc3,63,Koch Michel,22,Cannondale,55.0,+0:56,",, 0:56",2014,2
18,20.0,\u25b22,12,Appollonio Davide,24,AG2R La Mondiale,56.0,+0:58,0:58 0:58,2014,2
19,17.0,\u25bc2,121,Quintana Nairo,24,Movistar Team,57.0,+0:58,",, 0:58",2014,2
20,19.0,\u25bc1,176,Preidler Georg,23,Team Giant - Shimano,62.0,+0:59,0:59 0:59,2014,2
21,18.0,\u25bc3,174,Ludvigsson Tobias,23,Team Giant - Shimano,64.0,+0:59,",, 0:59",2014,2
22,24.0,\u25b22,42,Bol Jetse,24,Belkin-Pro Cycling Team,67.0,+1:01,1:01 1:01,2014,2
23,23.0,-,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,68.0,+1:01,",, 1:01",2014,2
24,22.0,\u25bc2,214,Felline Fabio,24,Trek Factory Racing,77.0,+1:03,1:03 1:03,2014,2
25,27.0,\u25b22,138,Monsalve Yonathan,24,Neri Sottoli,83.0,+1:04,1:04 1:04,2014,2
26,25.0,\u25bc1,44,Goos Marc,23,Belkin-Pro Cycling Team,86.0,+1:04,",, 1:04",2014,2
27,29.0,\u25b22,36,Colbrelli Sonny,23,Bardiani - CSF Pro Team,87.0,+1:07,1:07 1:07,2014,2
28,34.0,\u25b26,38,Ruffoni Nicola,23,Bardiani - CSF Pro Team,88.0,+1:07,",, 1:07",2014,2
29,30.0,\u25b21,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,90.0,+1:10,1:10 1:10,2014,2
30,35.0,\u25b25,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,91.0,+1:10,",, 1:10",2014,2
31,33.0,\u25b22,33,Boem Nicola,24,Bardiani - CSF Pro Team,92.0,+1:10,",, 1:10",2014,2
32,31.0,\u25bc1,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,93.0,+1:10,",, 1:10",2014,2
33,32.0,\u25bc1,37,Barbin Enrico,24,Bardiani - CSF Pro Team,95.0,+1:10,",, 1:10",2014,2
34,38.0,\u25b24,81,Bouhanni Nacer,23,FDJ.fr,96.0,+1:12,1:12 1:12,2014,2
35,37.0,\u25b22,28,Rosa Diego,25,Androni Giocattoli - Venezuela,97.0,+1:17,1:17 1:17,2014,2
36,36.0,-,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,99.0,+1:17,",, 1:17",2014,2
37,39.0,\u25b22,86,Le Bon Johan,23,FDJ.fr,107.0,+1:21,1:21 1:21,2014,2
38,42.0,\u25b24,73,Avila Edwin,24,Team Colombia,110.0,+1:23,1:23 1:23,2014,2
39,40.0,\u25b21,109,Ulissi Diego,24,Lampre - Merida,113.0,+1:23,",, 1:23",2014,2
40,41.0,\u25b21,107,Polanc Jan,22,Lampre - Merida,114.0,+1:23,",, 1:23",2014,2
41,44.0,\u25b23,117,Van der Sande Tosh,23,Lotto Belisol,121.0,+1:34,1:34 1:34,2014,2
42,43.0,\u25b21,118,Wellens Tim,23,Lotto Belisol,129.0,+1:37,1:37 1:37,2014,2
43,26.0,\u25bc17,136,Fedi Andrea,22,Neri Sottoli,131.0,+1:40,1:40 1:40,2014,2
44,45.0,\u25b21,68,Villella Davide,22,Cannondale,133.0,+1:45,1:45 1:45,2014,2
45,46.0,\u25b21,103,Cattaneo Mattia,23,Lampre - Merida,147.0,+2:16,2:16 2:16,2014,2
46,28.0,\u25bc18,132,Cecchinel Giorgio,24,Neri Sottoli,149.0,+2:20,2:20 2:20,2014,2
