Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
25,156,4,+0:08,,Ludvigsson Tobias,1,Team Giant - Alpecin,11:11 11:11,,,1,2016
23,64,7,+0:13,,Jungels Bob,2,Etixx - Quick Step,0:05 0:05,,,1,2016
23,145,17,+0:19,,Howson Damien,3,Orica GreenEDGE,0:11 0:11,,,1,2016
24,69,18,+0:20,,Wisniowski Lukasz,4,Etixx - Quick Step,0:12 0:12,,,1,2016
24,144,19,+0:20,,Hepburn Michael,5,Orica GreenEDGE,",, 0:12",,,1,2016
24,173,24,+0:25,,Hofland Moreno,6,Team LottoNL-Jumbo,0:17 0:17,,,1,2016
24,111,30,+0:28,,Wellens Tim,7,Lotto Soudal,0:20 0:20,,,1,2016
22,35,34,+0:30,,K\xfcng Stefan,8,BMC Racing Team,0:22 0:22,,,1,2016
24,113,37,+0:31,,de Bie Sean,9,Lotto Soudal,0:23 0:23,,,1,2016
24,71,66,+0:40,,D\xe9mare Arnaud,10,FDJ,0:32 0:32,,,1,2016
23,195,68,+0:40,,McCarthy Jay,11,Tinkoff,",, 0:32",,,1,2016
24,31,71,+0:41,,Senni Manuel,12,BMC Racing Team,0:33 0:33,,,1,2016
22,48,72,+0:41,,Bettiol Alberto,13,Cannondale Pro Cycling Team,",, 0:33",,,1,2016
23,128,73,+0:41,,S\xfctterlin Jasha,14,Movistar Team,",, 0:33",,,1,2016
22,39,77,+0:42,,Zabel Rick,15,BMC Racing Team,0:34 0:34,,,1,2016
22,212,87,+0:45,,Amezqueta Julen,16,Wilier - Southeast,0:37 0:37,,,1,2016
24,214,98,+0:47,,Bertazzo Liam,17,Wilier - Southeast,0:39 0:39,,,1,2016
23,101,97,+0:47,,Conti Valerio,18,Lampre - Merida,",, 0:39",,,1,2016
20,218,99,+0:47,,Martinez Daniel Felipe,19,Wilier - Southeast,",, 0:39",,,1,2016
24,152,105,+0:49,,Arndt Nikias,20,Team Giant - Alpecin,0:41 0:41,,,1,2016
23,45,112,+0:50,,Formolo Davide,21,Cannondale Pro Cycling Team,0:42 0:42,,,1,2016
24,44,111,+0:50,,Dombrowski Joe,22,Cannondale Pro Cycling Team,",, 0:42",,,1,2016
22,184,110,+0:50,,Henao Sebasti\xe1n,23,Team Sky,",, 0:42",,,1,2016
25,182,119,+0:53,,Boswell Ian,24,Team Sky,0:45 0:45,,,1,2016
25,58,118,+0:53,,Van Zyl Johann,25,Team Dimension Data,",, 0:45",,,1,2016
22,78,121,+0:54,,Sarreau Marc,26,FDJ,0:46 0:46,,,1,2016
22,77,125,+0:56,,Le Gac Olivier,27,FDJ,0:48 0:48,,,1,2016
24,49,131,+0:58,,Brown Nathan,28,Cannondale Pro Cycling Team,0:50 0:50,,,1,2016
24,132,135,+0:59,,Berlato Giacomo,29,Nippo - Vini Fantini,0:51 0:51,,,1,2016
23,68,133,+0:59,,Verona Carlos,30,Etixx - Quick Step,",, 0:51",,,1,2016
21,105,136,+1:01,,Mohoric Matej,31,Lampre - Merida,0:53 0:53,,,1,2016
24,16,137,+1:01,,Kozhatayev Bakhtiyar,32,Astana Pro Team,",, 0:53",,,1,2016
24,136,139,+1:02,,Filosi Iuri,33,Nippo - Vini Fantini,0:54 0:54,,,1,2016
24,87,146,+1:04,,Savitskiy Ivan,34,Gazprom-RusVelo,0:56 0:56,,,1,2016
23,109,145,+1:04,,Petilli Simone,35,Lampre - Merida,",, 0:56",,,1,2016
24,85,153,+1:06,,Foliforov Alexander,36,Gazprom-RusVelo,0:58 0:58,,,1,2016
23,23,162,+1:09,,Simion Paolo,37,Bardiani - CSF,1:01 1:01,,,1,2016
24,28,161,+1:09,,Maestri Mirco,38,Bardiani - CSF,",, 1:01",,,1,2016
21,26,164,+1:11,,Ciccone Giulio,39,Bardiani - CSF,1:03 1:03,,,1,2016
25,103,167,+1:12,,Koshevoy Ilia,40,Lampre - Merida,1:04 1:04,,,1,2016
22,22,176,+1:18,,Andreetta Simone,41,Bardiani - CSF,1:10 1:10,,,1,2016
22,82,175,+1:18,,Rybalkin Aleksey,42,Gazprom-RusVelo,",, 1:10",,,1,2016
21,216,178,+1:20,,Rodr\xedguez Cristian,43,Wilier - Southeast,1:12 1:12,,,1,2016
22,54,180,+1:21,,Kudus Merhawi,44,Team Dimension Data,1:13 1:13,,,1,2016
24,135,183,+1:24,,Stacchiotti Riccardo,45,Nippo - Vini Fantini,1:16 1:16,,,1,2016
24,138,190,+1:30,,Yamamoto Genki,46,Nippo - Vini Fantini,1:22 1:22,,,1,2016
21,143,191,+1:31,,Ewan Caleb,47,Orica GreenEDGE,1:23 1:23,,,1,2016
23,137,194,+1:36,,Grosu Eduard Michael,48,Nippo - Vini Fantini,1:28 1:28,,,1,2016
22,217,198,+1:48,,Mareczko Jakub,49,Wilier - Southeast,1:40 1:40,,,1,2016
25,156,5,+0:08,1.0,Ludvigsson Tobias,1,Team Giant - Alpecin,4:49:42 4:49:42,,-,2,2016
23,64,7,+0:13,2.0,Jungels Bob,2,Etixx - Quick Step,0:05 0:05,,-,2,2016
23,145,16,+0:19,3.0,Howson Damien,3,Orica GreenEDGE,0:11 0:11,,-,2,2016
24,69,17,+0:20,4.0,Wisniowski Lukasz,4,Etixx - Quick Step,0:12 0:12,,-,2,2016
24,144,18,+0:20,5.0,Hepburn Michael,5,Orica GreenEDGE,",, 0:12",,-,2,2016
24,173,23,+0:25,6.0,Hofland Moreno,6,Team LottoNL-Jumbo,0:17 0:17,,-,2,2016
24,111,29,+0:28,7.0,Wellens Tim,7,Lotto Soudal,0:20 0:20,,-,2,2016
22,35,33,+0:30,8.0,K\xfcng Stefan,8,BMC Racing Team,0:22 0:22,,-,2,2016
24,113,36,+0:31,9.0,de Bie Sean,9,Lotto Soudal,0:23 0:23,,-,2,2016
24,71,44,+0:34,10.0,D\xe9mare Arnaud,10,FDJ,0:26 0:26,,-,2,2016
23,195,64,+0:40,11.0,McCarthy Jay,11,Tinkoff,0:32 0:32,,-,2,2016
24,31,67,+0:41,12.0,Senni Manuel,12,BMC Racing Team,0:33 0:33,,-,2,2016
22,48,68,+0:41,13.0,Bettiol Alberto,13,Cannondale Pro Cycling Team,",, 0:33",,-,2,2016
22,39,72,+0:42,15.0,Zabel Rick,14,BMC Racing Team,0:34 0:34,,\u25b21,2,2016
22,212,80,+0:45,16.0,Amezqueta Julen,15,Wilier - Southeast,0:37 0:37,,\u25b21,2,2016
24,214,89,+0:47,17.0,Bertazzo Liam,16,Wilier - Southeast,0:39 0:39,,\u25b21,2,2016
23,101,90,+0:47,18.0,Conti Valerio,17,Lampre - Merida,",, 0:39",,\u25b21,2,2016
20,218,92,+0:47,19.0,Martinez Daniel Felipe,18,Wilier - Southeast,",, 0:39",,\u25b21,2,2016
24,152,94,+0:49,20.0,Arndt Nikias,19,Team Giant - Alpecin,0:41 0:41,,\u25b21,2,2016
23,45,95,+0:50,21.0,Formolo Davide,20,Cannondale Pro Cycling Team,0:42 0:42,,\u25b21,2,2016
24,44,97,+0:50,22.0,Dombrowski Joe,21,Cannondale Pro Cycling Team,",, 0:42",,\u25b21,2,2016
22,184,101,+0:50,23.0,Henao Sebasti\xe1n,22,Team Sky,",, 0:42",,\u25b21,2,2016
25,182,108,+0:53,24.0,Boswell Ian,23,Team Sky,0:45 0:45,,\u25b21,2,2016
25,58,109,+0:53,25.0,Van Zyl Johann,24,Team Dimension Data,",, 0:45",,\u25b21,2,2016
22,78,110,+0:54,26.0,Sarreau Marc,25,FDJ,0:46 0:46,,\u25b21,2,2016
24,49,118,+0:58,28.0,Brown Nathan,26,Cannondale Pro Cycling Team,0:50 0:50,,\u25b22,2,2016
23,68,120,+0:59,30.0,Verona Carlos,27,Etixx - Quick Step,0:51 0:51,,\u25b23,2,2016
21,105,122,+1:01,31.0,Mohoric Matej,28,Lampre - Merida,0:53 0:53,,\u25b23,2,2016
24,16,123,+1:01,32.0,Kozhatayev Bakhtiyar,29,Astana Pro Team,",, 0:53",,\u25b23,2,2016
24,87,125,+1:04,34.0,Savitskiy Ivan,30,Gazprom-RusVelo,0:56 0:56,,\u25b24,2,2016
23,109,127,+1:04,35.0,Petilli Simone,31,Lampre - Merida,",, 0:56",,\u25b24,2,2016
24,85,134,+1:06,36.0,Foliforov Alexander,32,Gazprom-RusVelo,0:58 0:58,,\u25b24,2,2016
