Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
24,1,6,+0:05,,Ullrich Jan,1,Team Telekom - ARD,6:17 6:17,,0,1998
25,134,15,+0:12,,Jalabert Nicolas,2,Cofidis,0:07 0:07,,0,1998
24,32,20,+0:13,,Di Grande Giuseppe,3,Mapei - Bricobi,0:08 0:08,,0,1998
23,98,21,+0:13,,Verbrugghe Rik,4,Lotto - Mobistar,",, 0:08",,0,1998
24,84,24,+0:15,,O'Grady Stuart,5,GAN,0:10 0:10,,0,1998
25,187,26,+0:16,,Hincapie George,6,US Postal Service,0:11 0:11,,0,1998
23,104,35,+0:19,,Ivanov Serguei,7,TVM - Farm Frites,0:14 0:14,,0,1998
25,133,43,+0:20,,Gaumont Philippe,8,Cofidis,0:15 0:15,,0,1998
24,161,53,+0:22,,Blanco Santiago,9,Vitalicio Seguros,0:17 0:17,,0,1998
24,139,66,+0:24,,Rinero Christophe,10,Cofidis,0:19 0:19,,0,1998
23,82,67,+0:24,,B\xe4ckstedt Magnus,11,GAN,",, 0:19",,0,1998
24,56,70,+0:25,,Moerenhout Koos,12,Rabobank ProTeam,0:20 0:20,,0,1998
24,48,78,+0:26,,Perez Luis,13,O.N.C.E.,0:21 0:21,,0,1998
24,176,90,+0:27,,Gonzalez Santos,14,Kelme - Costa Blanca,0:22 0:22,,0,1998
21,146,101,+0:29,,Jaksche Jorg,15,Polti,0:24 0:24,,0,1998
24,117,115,+0:31,,Mori Massimiliano,16,Saeco Macchine da Caffe' - Cannondale,0:26 0:26,,0,1998
25,137,119,+0:32,,Livingston Kevin,17,Cofidis,0:27 0:27,,0,1998
25,195,138,+0:37,,Casagranda Stefano,18,Riso Scotti - MG,0:32 0:32,,0,1998
24,116,140,+0:37,,Mazzoleni Eddy,19,Saeco Macchine da Caffe' - Cannondale,",, 0:32",,0,1998
24,122,141,+0:37,,Bouyer Franck,20,La Fran\xe7aise des Jeux,",, 0:32",,0,1998
24,69,150,+0:38,,Salmon Benoit,21,Casino - AG2R,0:33 0:33,,0,1998
24,173,154,+0:39,,Alberto Contreras Carlos,22,Kelme - Costa Blanca,0:34 0:34,,0,1998
25,196,155,+0:39,,De Beni Federico,23,Riso Scotti - MG,",, 0:34",,0,1998
24,103,157,+0:39,,de Jongh Steven,24,TVM - Farm Frites,",, 0:34",,0,1998
23,152,161,+0:40,,Bongioni Alessio,25,Asics - CGA,0:35 0:35,,0,1998
24,175,162,+0:41,,Gomez Jose Javier,26,Kelme - Costa Blanca,0:36 0:36,,0,1998
22,167,163,+0:41,,Garcia Francisco Tomas,27,Vitalicio Seguros,",, 0:36",,0,1998
24,149,170,+0:43,,Sacchi Fabio,28,Polti,0:38 0:38,,0,1998
25,99,171,+0:43,,Verheyen Geert,29,Lotto - Mobistar,",, 0:38",,0,1998
24,145,175,+0:46,,Guidi Leonardo,30,Polti,0:41 0:41,,0,1998
24,128,182,+0:48,,Nazon Damien,31,La Fran\xe7aise des Jeux,0:43 0:43,,0,1998
25,174,185,+0:51,,De Los Angeles Juan Jos\xe9,32,Kelme - Costa Blanca,0:46 0:46,,0,1998
22,159,188,+0:55,,Turicchia Alain,33,Asics - CGA,0:50 0:50,,0,1998
23,199,189,+1:01,,Spezialetti Alessandro,34,Riso Scotti - MG,0:56 0:56,,0,1998
24,1,6,+0:05,1.0,Ullrich Jan,1,Team Telekom - ARD,4:36:15 4:36:15,-,1,1998
25,134,19,+0:12,2.0,Jalabert Nicolas,2,Cofidis,0:07 0:07,-,1,1998
24,32,22,+0:13,3.0,Di Grande Giuseppe,3,Mapei - Bricobi,0:08 0:08,-,1,1998
23,98,23,+0:13,4.0,Verbrugghe Rik,4,Lotto - Mobistar,",, 0:08",-,1,1998
24,84,25,+0:15,5.0,O'Grady Stuart,5,GAN,0:10 0:10,-,1,1998
25,187,27,+0:16,6.0,Hincapie George,6,US Postal Service,0:11 0:11,-,1,1998
23,104,38,+0:19,7.0,Ivanov Serguei,7,TVM - Farm Frites,0:14 0:14,-,1,1998
25,133,45,+0:20,8.0,Gaumont Philippe,8,Cofidis,0:15 0:15,-,1,1998
24,161,55,+0:22,9.0,Blanco Santiago,9,Vitalicio Seguros,0:17 0:17,-,1,1998
24,139,65,+0:24,10.0,Rinero Christophe,10,Cofidis,0:19 0:19,-,1,1998
23,82,66,+0:24,11.0,B\xe4ckstedt Magnus,11,GAN,",, 0:19",-,1,1998
24,56,68,+0:25,12.0,Moerenhout Koos,12,Rabobank ProTeam,0:20 0:20,-,1,1998
24,48,76,+0:26,13.0,Perez Luis,13,O.N.C.E.,0:21 0:21,-,1,1998
24,176,87,+0:27,14.0,Gonzalez Santos,14,Kelme - Costa Blanca,0:22 0:22,-,1,1998
21,146,96,+0:29,15.0,Jaksche Jorg,15,Polti,0:24 0:24,-,1,1998
25,137,112,+0:32,17.0,Livingston Kevin,16,Cofidis,0:27 0:27,\u25b21,1,1998
25,195,130,+0:37,18.0,Casagranda Stefano,17,Riso Scotti - MG,0:32 0:32,\u25b21,1,1998
24,122,132,+0:37,20.0,Bouyer Franck,18,La Fran\xe7aise des Jeux,",, 0:32",\u25b22,1,1998
24,69,141,+0:38,21.0,Salmon Benoit,19,Casino - AG2R,0:33 0:33,\u25b22,1,1998
24,173,144,+0:39,22.0,Alberto Contreras Carlos,20,Kelme - Costa Blanca,0:34 0:34,\u25b22,1,1998
25,196,145,+0:39,23.0,De Beni Federico,21,Riso Scotti - MG,",, 0:34",\u25b22,1,1998
24,103,147,+0:39,24.0,de Jongh Steven,22,TVM - Farm Frites,",, 0:34",\u25b22,1,1998
23,152,150,+0:40,25.0,Bongioni Alessio,23,Asics - CGA,0:35 0:35,\u25b22,1,1998
24,175,151,+0:41,26.0,Gomez Jose Javier,24,Kelme - Costa Blanca,0:36 0:36,\u25b22,1,1998
22,167,152,+0:41,27.0,Garcia Francisco Tomas,25,Vitalicio Seguros,",, 0:36",\u25b22,1,1998
24,149,159,+0:43,28.0,Sacchi Fabio,26,Polti,0:38 0:38,\u25b22,1,1998
25,99,160,+0:43,29.0,Verheyen Geert,27,Lotto - Mobistar,",, 0:38",\u25b22,1,1998
24,145,163,+0:46,30.0,Guidi Leonardo,28,Polti,0:41 0:41,\u25b22,1,1998
24,128,170,+0:48,31.0,Nazon Damien,29,La Fran\xe7aise des Jeux,0:43 0:43,\u25b22,1,1998
25,174,173,+0:51,32.0,De Los Angeles Juan Jos\xe9,30,Kelme - Costa Blanca,0:46 0:46,\u25b22,1,1998
22,159,174,+0:55,33.0,Turicchia Alain,31,Asics - CGA,0:50 0:50,\u25b22,1,1998
23,199,176,+1:01,34.0,Spezialetti Alessandro,32,Riso Scotti - MG,0:56 0:56,\u25b22,1,1998
24,117,183,+4:11,16.0,Mori Massimiliano,33,Saeco Macchine da Caffe' - Cannondale,4:06 4:06,\u25bc17,1,1998
24,116,185,+4:17,19.0,Mazzoleni Eddy,34,Saeco Macchine da Caffe' - Cannondale,4:12 4:12,\u25bc15,1,1998
24,1,8,+0:09,1.0,Ullrich Jan,1,Team Telekom - ARD,10:21:25 10:21:25,-,2,1998
25,134,20,+0:16,2.0,Jalabert Nicolas,2,Cofidis,0:07 0:07,-,2,1998
24,32,23,+0:17,3.0,Di Grande Giuseppe,3,Mapei - Bricobi,0:08 0:08,-,2,1998
23,98,24,+0:17,4.0,Verbrugghe Rik,4,Lotto - Mobistar,",, 0:08",-,2,1998
24,84,26,+0:19,5.0,O'Grady Stuart,5,GAN,0:10 0:10,-,2,1998
25,187,28,+0:20,6.0,Hincapie George,6,US Postal Service,0:11 0:11,-,2,1998
23,104,40,+0:23,7.0,Ivanov Serguei,7,TVM - Farm Frites,0:14 0:14,-,2,1998
25,133,46,+0:24,8.0,Gaumont Philippe,8,Cofidis,0:15 0:15,-,2,1998
24,161,54,+0:26,9.0,Blanco Santiago,9,Vitalicio Seguros,0:17 0:17,-,2,1998
24,139,64,+0:28,10.0,Rinero Christophe,10,Cofidis,0:19 0:19,-,2,1998
23,82,65,+0:28,11.0,B\xe4ckstedt Magnus,11,GAN,",, 0:19",-,2,1998
24,56,67,+0:29,12.0,Moerenhout Koos,12,Rabobank ProTeam,0:20 0:20,-,2,1998
24,48,74,+0:30,13.0,Perez Luis,13,O.N.C.E.,0:21 0:21,-,2,1998
