Rnk,Rider,Age,Team,UCI,year,stage
1,Zberg Markus,24,Rabobank ProTeam,63,1999,9
3,Casagrande Francesco,28,Vini Caldirola - Sidermec,55,1999,9
4,Richard Pascal,35,Mobilvetta Design - Northwave,41,1999,9
5,Dufaux Laurent,30,Saeco - Cannondale,41,1999,9
6,Tonkov Pavel,30,Mapei - Quickstep,24,1999,9
7,Camenzind Oscar,27,Lampre - Daikin - Colnago,24,1999,9
8,Secchiari Francesco,26,Saeco - Cannondale,22,1999,9
9,Simoni Gilberto,27,,21,1999,9
10,Schnider Daniel,25,,19,1999,9
11,Jalabert Laurent,30,O.N.C.E. - Deutsche Bank,17,1999,9
12,Elli Alberto,35,Team Telekom,16,1999,9
13,Tebaldi Valerio,33,Mobilvetta Design - Northwave,15,1999,9
14,White Matthew,25,Vini Caldirola - Sidermec,14,1999,9
15,Serpellini Marco,26,Lampre - Daikin - Colnago,14,1999,9
16,Meier Armin,29,Saeco - Cannondale,13,1999,9
17,Zumsteg Lukas,27,,12,1999,9
18,Vetsch Patrick,28,,12,1999,9
19,Puttini Felice,31,Amica Chips - Costa de Almeria,12,1999,9
20,De Pasquale Maurizio,30,,11,1999,9
21,Zarrabeitia Mikel,29,O.N.C.E. - Deutsche Bank,11,1999,9
22,Dierckxsens Ludo,34,Lampre - Daikin - Colnago,10,1999,9
23,Commesso Salvatore,24,Saeco - Cannondale,9,1999,9
24,den Bakker Maarten,30,Rabobank ProTeam,8,1999,9
25,Cuesta \xcd\xf1igo,30,O.N.C.E. - Deutsche Bank,8,1999,9
26,Guerini Giuseppe,29,Team Telekom,8,1999,9
27,Heule Christian,24,,7,1999,9
28,Ekimov Viatcheslav,33,Amica Chips - Costa de Almeria,6,1999,9
29,Tronca Amilcare,27,Amica Chips - Costa de Almeria,6,1999,9
30,Valoti Paolo,28,Mobilvetta Design - Northwave,6,1999,9
31,Hvastija Martin,29,,6,1999,9
32,Pe\xf1a Miguel \xc1ngel,28,Banesto,5,1999,9
33,Mondini Gianpaolo,26,Cantina Tollo - Alexia Alluminio,5,1999,9
34,Petito Roberto,28,Saeco - Cannondale,4,1999,9
35,Nardello Daniele,26,Mapei - Quickstep,4,1999,9
36,Haymoz Yvan,23,Post Swiss Team,4,1999,9
37,Montgomery Sven,23,,4,1999,9
38,Piovaccari Giusvan,25,Cantina Tollo - Alexia Alluminio,4,1999,9
39,Gianetti Mauro,35,Vini Caldirola - Sidermec,3,1999,9
40,Barnsley Chris,27,,2,1999,9
41,Lombardi Giovanni,30,Team Telekom,2,1999,9
42,Bertoletti Simone,24,Lampre - Daikin - Colnago,2,1999,9
43,Sgambelluri Roberto,25,Cantina Tollo - Alexia Alluminio,2,1999,9
44,Aebersold Niki,26,Rabobank ProTeam,1,1999,9
45,Cattai Stefano,31,Polti,1,1999,9
