Rnk,Rider,Age,Team,Pnt,year,stage
1,Garzelli Stefano,26,Mercatone Uno - Albacom,72,2000,10
2,Gottschling Stephan,32,,61,2000,10
3,Herv\xe9 Pascal,35,Polti,44,2000,10
4,Belli Wladimir,29,Fassa Bortolo,43,2000,10
5,Commesso Salvatore,25,Saeco,40,2000,10
6,Boogerd Michael,28,Rabobank ProTeam,34,2000,10
7,Secchiari Francesco,27,Saeco,28,2000,10
8,Schnider Daniel,26,La Fran\xe7aise des Jeux,23,2000,10
9,Mazzoleni Eddy,26,Saeco,22,2000,10
10,Virenque Richard,30,Polti,22,2000,10
11,Bartoli Michele,30,Mapei - Quickstep,19,2000,10
12,Buxhofer Matthias,26,Phonak Hearing Systems,18,2000,10
13,Simoni Gilberto,28,Lampre - Daikin,16,2000,10
14,Podenzana Massimo,38,Mercatone Uno - Albacom,16,2000,10
15,Fincato Marco,29,Fassa Bortolo,15,2000,10
16,Heule Christian,25,,14,2000,10
17,Frigo Dario,26,Fassa Bortolo,14,2000,10
18,den Bakker Maarten,31,Rabobank ProTeam,12,2000,10
19,Calcagni Patrick,22,Vini Caldirola - Sidermec,12,2000,10
20,Stangelj Gorazd,27,Liquigas - Pata,10,2000,10
21,Cattai Stefano,32,Liquigas - Pata,8,2000,10
22,Donati Massimo,33,Vini Caldirola - Sidermec,8,2000,10
23,Vinokourov Alexandre,26,Team Telekom,8,2000,10
24,Strauss Marcel,23,,7,2000,10
25,Lotz Marc,26,Rabobank ProTeam,6,2000,10
26,M\xfchlbacher Thomas,26,Gerolsteiner,6,2000,10
27,Camenzind Oscar,28,Lampre - Daikin,6,2000,10
28,Atienza Daniel,25,Saeco,5,2000,10
29,Zanini Stefano,31,Mapei - Quickstep,5,2000,10
30,Aebersold Niki,27,Rabobank ProTeam,4,2000,10
31,Rastelli Ellis,25,Liquigas - Pata,4,2000,10
32,Montgomery Sven,24,La Fran\xe7aise des Jeux,4,2000,10
33,Ullrich Jan,26,Team Telekom,4,2000,10
34,Teutenberg Sven,27,Gerolsteiner,4,2000,10
35,Mori Massimiliano,26,Saeco,4,2000,10
36,Dellavedova Marco,27,Lampre - Daikin,3,2000,10
37,Mattan Nico,28,Cofidis,3,2000,10
38,Meier Roland,32,Cofidis,2,2000,10
39,Wauters Marc,31,Rabobank ProTeam,2,2000,10
40,R\xfctimann Stefan,21,,2,2000,10
41,Heppner Jens,35,Team Telekom,2,2000,10
42,Gaute H\xf8lest\xf8l Sveln,29,Gerolsteiner,2,2000,10
43,Guerini Giuseppe,30,Team Telekom,1,2000,10
44,Zberg Markus,25,Rabobank ProTeam,1,2000,10
45,Wrolich Peter,26,Gerolsteiner,1,2000,10
46,Garate Juan Manuel,24,Lampre - Daikin,1,2000,10
47,Peers Chris,30,Cofidis,1,2000,10
48,Nardello Daniele,27,Mapei - Quickstep,1,2000,10
49,Niermann Grischa,24,Rabobank ProTeam,1,2000,10
50,Bolts Udo,33,Team Telekom,1,2000,10
