Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
32,62,12,,Hesjedal Ryder,1,Garmin Sharp,,2,2013
30,87,8,,Pozzovivo Domenico,2,AG2R La Mondiale,,2,2013
23,166,6,,Pinot Thibaut,3,FDJ.fr,,2,2013
26,56,4,,Kangert Tanel,4,Astana Pro Team,,2,2013
26,64,2,,Martin Daniel,5,Garmin Sharp,,2,2013
27,121,12,,Kreuziger Roman,1,Team Saxo - Tinkoff,-,3,2013
26,73,8,,Frank Mathias,2,BMC Racing Team,-,3,2013
30,87,8,2.0,Pozzovivo Domenico,3,AG2R La Mondiale,\u25bc1,3,2013
23,166,6,3.0,Pinot Thibaut,4,FDJ.fr,\u25bc1,3,2013
23,108,6,,Sagan Peter,5,Cannondale Pro Cycling Team,-,3,2013
30,71,5,,Gilbert Philippe,6,BMC Racing Team,-,3,2013
26,56,4,4.0,Kangert Tanel,7,Astana Pro Team,\u25bc3,3,2013
33,96,4,,Scarponi Michele,8,Lampre - Merida,-,3,2013
32,41,3,,Boonen Tom,9,Omega Pharma - Quick-Step,-,3,2013
28,122,3,,Breschel Matti,10,Team Saxo - Tinkoff,-,3,2013
26,1,2,,Costa Rui,11,Movistar Team,-,3,2013
26,64,2,5.0,Martin Daniel,12,Garmin Sharp,\u25bc7,3,2013
32,68,2,,Vansummeren Johan,13,Garmin Sharp,-,3,2013
32,31,2,,Cancellara Fabian,14,RadioShack - Leopard,-,3,2013
22,112,1,,Kelderman Wilco,15,Blanco Pro Cycling Team,-,3,2013
32,131,1,,Albasini Michael,16,Orica GreenEDGE,-,3,2013
32,158,19,,Vrecer Robert,1,Euskaltel - Euskadi,-,4,2013
27,121,12,1.0,Kreuziger Roman,2,Team Saxo - Tinkoff,\u25bc1,4,2013
41,38,12,,Voigt Jens,3,RadioShack - Leopard,-,4,2013
30,145,10,,Kaisen Olivier,4,Lotto Belisol Team,-,4,2013
26,73,8,2.0,Frank Mathias,5,BMC Racing Team,\u25bc3,4,2013
30,87,8,3.0,Pozzovivo Domenico,6,AG2R La Mondiale,\u25bc3,4,2013
23,166,6,4.0,Pinot Thibaut,7,FDJ.fr,\u25bc3,4,2013
23,108,6,5.0,Sagan Peter,8,Cannondale Pro Cycling Team,\u25bc3,4,2013
30,71,5,6.0,Gilbert Philippe,9,BMC Racing Team,\u25bc3,4,2013
26,198,5,,Wyss Marcel,10,IAM Cycling,-,4,2013
26,56,4,7.0,Kangert Tanel,11,Astana Pro Team,\u25bc4,4,2013
33,96,4,8.0,Scarponi Michele,12,Lampre - Merida,\u25bc4,4,2013
32,41,3,9.0,Boonen Tom,13,Omega Pharma - Quick-Step,\u25bc4,4,2013
