Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
1,1,-,33,Oomen Sam,22,Team Sunweb,8,+0:23,4:10:47 4:10:47,2018,2
2,4,\u25b22,74,M\xfchlberger Gregor,24,BORA - hansgrohe,10,+0:30,0:07 0:07,2018,2
3,3,-,126,Mas Enric,23,Quick-Step Floors,11,+0:30,",, 0:07",2018,2
4,2,\u25bc2,35,Andersen S\xf8ren Kragh,23,Team Sunweb,17,+0:33,0:10 0:10,2018,2
5,5,-,66,Padun Mark,21,Bahrain Merida Pro Cycling Team,22,+0:39,0:16 0:16,2018,2
6,6,-,7,Cras Steff,22,Team Katusha - Alpecin,30,+0:49,0:26 0:26,2018,2
7,8,\u25b21,103,Lambrecht Bjorg,21,Lotto Soudal,36,+1:01,0:38 0:38,2018,2
8,10,\u25b22,163,Sivakov Pavel,20,Team Sky,42,+1:05,0:42 0:42,2018,2
9,11,\u25b22,143,Carthy Hugh,23,Team EF Education First-Drapac p/b Cannondale,45,+1:08,0:45 0:45,2018,2
10,15,\u25b25,134,Kudus Merhawi,24,Team Dimension Data,49,+1:13,0:50 0:50,2018,2
11,14,\u25b23,137,Davies Scott,22,Team Dimension Data,51,+1:13,",, 0:50",2018,2
12,18,\u25b26,183,Dunbar Edward,21,Aqua Blue Sport,53,+1:19,0:56 0:56,2018,2
13,21,\u25b28,122,Gaviria Fernando,23,Quick-Step Floors,59,+2:18,1:55 1:55,2018,2
14,7,\u25bc7,172,Ganna Filippo,21,UAE-Team Emirates,76,+2:55,2:32 2:32,2018,2
15,12,\u25bc3,44,Peters Nans,24,AG2R La Mondiale,83,+3:12,2:49 2:49,2018,2
16,13,\u25bc3,176,Troia Oliviero,23,UAE-Team Emirates,86,+3:13,2:50 2:50,2018,2
17,17,-,194,Ourselin Paul,24,Direct Energie,93,+3:21,2:58 2:58,2018,2
18,16,\u25bc2,192,Boudat Thomas,24,Direct Energie,95,+3:21,",, 2:58",2018,2
19,19,-,186,Pearson Daniel,24,Aqua Blue Sport,101,+3:27,3:04 3:04,2018,2
20,22,\u25b22,193,Grellier Fabien,23,Direct Energie,111,+5:09,4:46 4:46,2018,2
21,9,\u25bc12,166,Halvorsen Kristoffer,22,Team Sky,124,+8:32,8:09 8:09,2018,2
22,20,\u25bc2,207,Zaccanti Filippo,22,Nippo - Vini Fantini - Europa Ovini,128,+9:29,9:06 9:06,2018,2
1,1,-,33,Oomen Sam,22,Team Sunweb,8,+0:23,8:50:38 8:50:38,2018,3
2,2,-,74,M\xfchlberger Gregor,24,BORA - hansgrohe,9,+0:30,0:07 0:07,2018,3
3,3,-,126,Mas Enric,23,Quick-Step Floors,10,+0:30,",, 0:07",2018,3
4,4,-,35,Andersen S\xf8ren Kragh,23,Team Sunweb,13,+0:33,0:10 0:10,2018,3
5,5,-,66,Padun Mark,21,Bahrain Merida Pro Cycling Team,18,+0:39,0:16 0:16,2018,3
6,6,-,7,Cras Steff,22,Team Katusha - Alpecin,22,+0:49,0:26 0:26,2018,3
7,7,-,103,Lambrecht Bjorg,21,Lotto Soudal,29,+1:01,0:38 0:38,2018,3
8,8,-,163,Sivakov Pavel,20,Team Sky,34,+1:05,0:42 0:42,2018,3
9,9,-,143,Carthy Hugh,23,Team EF Education First-Drapac p/b Cannondale,37,+1:08,0:45 0:45,2018,3
10,10,-,134,Kudus Merhawi,24,Team Dimension Data,42,+1:13,0:50 0:50,2018,3
11,13,\u25b22,122,Gaviria Fernando,23,Quick-Step Floors,49,+2:12,1:49 1:49,2018,3
12,12,-,183,Dunbar Edward,21,Aqua Blue Sport,50,+2:14,1:51 1:51,2018,3
13,14,\u25b21,172,Ganna Filippo,21,UAE-Team Emirates,58,+2:55,2:32 2:32,2018,3
14,11,\u25bc3,137,Davies Scott,22,Team Dimension Data,66,+3:24,3:01 3:01,2018,3
15,15,-,44,Peters Nans,24,AG2R La Mondiale,78,+4:45,4:22 4:22,2018,3
16,18,\u25b22,192,Boudat Thomas,24,Direct Energie,79,+4:54,4:31 4:31,2018,3
17,17,-,194,Ourselin Paul,24,Direct Energie,96,+6:31,6:08 6:08,2018,3
18,16,\u25bc2,176,Troia Oliviero,23,UAE-Team Emirates,113,+10:03,9:40 9:40,2018,3
19,19,-,186,Pearson Daniel,24,Aqua Blue Sport,118,+11:29,11:06 11:06,2018,3
20,21,\u25b21,166,Halvorsen Kristoffer,22,Team Sky,121,+11:42,11:19 11:19,2018,3
21,20,\u25bc1,193,Grellier Fabien,23,Direct Energie,123,+12:22,11:59 11:59,2018,3
22,22,-,207,Zaccanti Filippo,22,Nippo - Vini Fantini - Europa Ovini,134,+15:16,14:53 14:53,2018,3
1,1,-,33,Oomen Sam,22,Team Sunweb,8,+0:23,13:26:42 13:26:42,2018,4
2,2,-,74,M\xfchlberger Gregor,24,BORA - hansgrohe,9,+0:30,0:07 0:07,2018,4
3,3,-,126,Mas Enric,23,Quick-Step Floors,10,+0:30,",, 0:07",2018,4
4,4,-,35,Andersen S\xf8ren Kragh,23,Team Sunweb,13,+0:33,0:10 0:10,2018,4
5,5,-,66,Padun Mark,21,Bahrain Merida Pro Cycling Team,18,+0:39,0:16 0:16,2018,4
6,6,-,7,Cras Steff,22,Team Katusha - Alpecin,22,+0:49,0:26 0:26,2018,4
7,7,-,103,Lambrecht Bjorg,21,Lotto Soudal,28,+1:01,0:38 0:38,2018,4
8,8,-,163,Sivakov Pavel,20,Team Sky,33,+1:05,0:42 0:42,2018,4
9,9,-,143,Carthy Hugh,23,Team EF Education First-Drapac p/b Cannondale,36,+1:08,0:45 0:45,2018,4
10,10,-,134,Kudus Merhawi,24,Team Dimension Data,40,+1:13,0:50 0:50,2018,4
11,14,\u25b23,137,Davies Scott,22,Team Dimension Data,55,+3:24,3:01 3:01,2018,4
12,11,\u25bc1,122,Gaviria Fernando,23,Quick-Step Floors,61,+4:11,3:48 3:48,2018,4
13,15,\u25b22,44,Peters Nans,24,AG2R La Mondiale,63,+4:40,4:17 4:17,2018,4
14,16,\u25b22,192,Boudat Thomas,24,Direct Energie,74,+6:53,6:30 6:30,2018,4
15,12,\u25bc3,183,Dunbar Edward,21,Aqua Blue Sport,82,+8:20,7:57 7:57,2018,4
16,17,\u25b21,194,Ourselin Paul,24,Direct Energie,85,+8:29,8:06 8:06,2018,4
17,18,\u25b21,176,Troia Oliviero,23,UAE-Team Emirates,113,+17:20,16:57 16:57,2018,4
18,21,\u25b23,193,Grellier Fabien,23,Direct Energie,114,+17:36,17:13 17:13,2018,4
19,20,\u25b21,166,Halvorsen Kristoffer,22,Team Sky,117,+18:59,18:36 18:36,2018,4
20,19,\u25bc1,186,Pearson Daniel,24,Aqua Blue Sport,125,+21:20,20:57 20:57,2018,4
21,13,\u25bc8,172,Ganna Filippo,21,UAE-Team Emirates,128,+22:22,21:59 21:59,2018,4
22,22,-,207,Zaccanti Filippo,22,Nippo - Vini Fantini - Europa Ovini,129,+22:33,22:10 22:10,2018,4
1,1,-,33,Oomen Sam,22,Team Sunweb,3,+0:20,17:04:13 17:04:13,2018,5
2,3,\u25b21,126,Mas Enric,23,Quick-Step Floors,4,+0:21,0:01 0:01,2018,5
3,7,\u25b24,103,Lambrecht Bjorg,21,Lotto Soudal,14,+0:58,0:38 0:38,2018,5
4,8,\u25b24,163,Sivakov Pavel,20,Team Sky,17,+1:09,0:49 0:49,2018,5
5,9,\u25b24,143,Carthy Hugh,23,Team EF Education First-Drapac p/b Cannondale,18,+1:17,0:57 0:57,2018,5
6,5,\u25bc1,66,Padun Mark,21,Bahrain Merida Pro Cycling Team,20,+1:23,1:03 1:03,2018,5
7,2,\u25bc5,74,M\xfchlberger Gregor,24,BORA - hansgrohe,24,+2:00,1:40 1:40,2018,5
8,10,\u25b22,134,Kudus Merhawi,24,Team Dimension Data,29,+2:43,2:23 2:23,2018,5
9,6,\u25bc3,7,Cras Steff,22,Team Katusha - Alpecin,30,+2:48,2:28 2:28,2018,5
10,13,\u25b23,44,Peters Nans,24,AG2R La Mondiale,38,+6:16,5:56 5:56,2018,5
11,4,\u25bc7,35,Andersen S\xf8ren Kragh,23,Team Sunweb,60,+19:06,18:46 18:46,2018,5
12,11,\u25bc1,137,Davies Scott,22,Team Dimension Data,67,+21:57,21:37 21:37,2018,5
13,16,\u25b23,194,Ourselin Paul,24,Direct Energie,75,+27:01,26:41 26:41,2018,5
14,12,\u25bc2,122,Gaviria Fernando,23,Quick-Step Floors,80,+28:27,28:07 28:07,2018,5
15,14,\u25bc1,192,Boudat Thomas,24,Direct Energie,91,+31:09,30:49 30:49,2018,5
16,15,\u25bc1,183,Dunbar Edward,21,Aqua Blue Sport,97,+32:36,32:16 32:16,2018,5
