Rnk,Rider,Age,Team,GC,GC-Time,Time,year,stage
1,Kelderman Wilco,21,Rabobank Cycling Team,7,+2:30,30:45:02 30:45:02,2012,8
2,Dombrowski Joe,21,Bontrager Livestrong Team,12,+3:38,1:08 1:08,2012,8
3,Durbridge Luke,21,Orica GreenEDGE,18,+5:03,2:33 2:33,2012,8
4,Dumoulin Tom,21,Argos - Shimano,23,+7:29,4:59 4:59,2012,8
5,Bardet Romain,21,AG2R La Mondiale,25,+8:28,5:58 5:58,2012,8
6,Craddock Lawson,20,Bontrager Livestrong Team,37,+19:10,16:40 16:40,2012,8
7,Sagan Peter,22,Liquigas - Cannondale,42,+27:28,24:58 24:58,2012,8
8,Bennett George,22,RadioShack - Nissan,46,+28:36,26:06 26:06,2012,8
9,Boswell Ian,21,Bontrager Livestrong Team,48,+28:58,26:28 26:28,2012,8
10,Mannion Gavin,20,Bontrager Livestrong Team,62,+38:37,36:07 36:07,2012,8
11,Atkins Joshua,19,Bontrager Livestrong Team,66,+50:31,48:01 48:01,2012,8
12,Brown Nathan,20,Bontrager Livestrong Team,69,+56:34,54:04 54:04,2012,8
13,Houle Hugo,21,Spidertech Powered by C10,74,+1:04:33,1:02:03 1:02:03,2012,8
14,Stuyven Jasper,20,Bontrager Livestrong Team,76,+1:07:19,1:04:49 1:04:49,2012,8
15,Boily David,22,Spidertech Powered by C10,78,+1:09:58,1:07:28 1:07:28,2012,8
16,Matthews Michael,21,Rabobank Cycling Team,83,+1:12:24,1:09:54 1:09:54,2012,8
17,Eastman Ryan,19,Bontrager Livestrong Team,90,+1:18:00,1:15:30 1:15:30,2012,8
18,Rathe Jacob,21,Team Garmin - Barracuda,108,+1:41:10,1:38:40 1:38:40,2012,8
