Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
22,111,4,+0:06,,Groenewegen Dylan,1,Team LottoNL-Jumbo,4:20:37 4:20:37,,1,2016
22,124,5,+0:07,,Eaton Daniel,2,UnitedHealthcare Pro Cycling Team,0:01 0:01,,1,2016
22,84,9,+0:10,,Bonifazio Niccolo,3,Trek - Segafredo,0:04 0:04,,1,2016
21,135,10,+0:10,,Guerreiro Ruben,4,Axeon Hagens Berman,",, 0:04",,1,2016
22,27,15,+0:10,,van Poppel Danny,5,Team Sky,",, 0:04",,1,2016
19,138,16,+0:10,,Powless Neilson,6,Axeon Hagens Berman,",, 0:04",,1,2016
23,63,18,+0:10,,Doull Owain,7,Team Wiggins,",, 0:04",,1,2016
21,131,25,+0:10,,Geoghegan Hart Tao,8,Axeon Hagens Berman,",, 0:04",,1,2016
21,137,28,+0:10,,Owen Logan,9,Axeon Hagens Berman,",, 0:04",,1,2016
21,136,36,+0:10,,Neilands Krists,10,Axeon Hagens Berman,",, 0:04",,1,2016
21,64,38,+0:10,,Kelly Jake,11,Team Wiggins,",, 0:04",,1,2016
22,24,42,+0:10,,Moscon Gianni,12,Team Sky,",, 0:04",,1,2016
21,134,64,+0:00,,Daniel Gregory,13,Axeon Hagens Berman,",, 0:04",,1,2016
22,26,74,+0:00,,Peters Alex,14,Team Sky,",, 0:04",,1,2016
22,5,77,+0:00,,Gogl Michael,15,Tinkoff,",, 0:04",,1,2016
23,107,78,+0:00,,Lunke Sindre Skj\xf8stad,16,Team Giant - Alpecin,",, 0:04",,1,2016
22,173,81,+0:00,,De Vos Adam,17,Rally Cycling,",, 0:04",,1,2016
20,132,85,+0:00,,Barta William,18,Axeon Hagens Berman,",, 0:04",,1,2016
22,166,86,+0:00,,Planet Charles,19,Team Novo Nordisk,",, 0:04",,1,2016
23,113,93,+0:00,,Roosen Timo,20,Team LottoNL-Jumbo,",, 0:04",,1,2016
21,116,97,+0:00,,Vermeulen Alexey,21,Team LottoNL-Jumbo,",, 0:04",,1,2016
21,68,105,+0:00,,Thompson Michael,22,Team Wiggins,",, 0:04",,1,2016
22,144,107,+0:00,,Putt Christopher,23,Jelly Belly p/b Maxxis,",, 0:04",,1,2016
22,148,109,+0:00,,Wolfe Ben,24,Jelly Belly p/b Maxxis,",, 0:04",,1,2016
22,65,112,+0:00,,Latham Christopher,25,Team Wiggins,",, 0:04",,1,2016
20,133,117,+0:00,,Curran Geoffrey,26,Axeon Hagens Berman,",, 0:04",,1,2016
22,2,119,+0:25,,Ba\u0161ka Erik,27,Tinkoff,0:19 0:19,,1,2016
21,47,131,+0:49,,Restrepo Jhonatan,28,Team Katusha,0:43 0:43,,1,2016
21,102,144,+4:07,,Andersen S\xf8ren Kragh,29,Team Giant - Alpecin,4:01 4:01,,1,2016
22,124,5,+0:21,2.0,Eaton Daniel,1,UnitedHealthcare Pro Cycling Team,8:12:55 8:12:55,\u25b21,2,2016
20,132,6,+0:21,18.0,Barta William,2,Axeon Hagens Berman,",, ,,",\u25b216,2,2016
