Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
23,111,3,+0:06,,D\xe9mare Arnaud,1,FDJ,3:49:46 3:49:46,,1,2015
25,21,6,+0:10,,Sagan Peter,2,Tinkoff - Saxo,0:04 0:04,,1,2015
24,161,7,+0:10,,Bennett Sam,3,Bora - Argon 18,",, 0:04",,1,2015
22,36,8,+0:10,,Stuyven Jasper,4,Trek Factory Racing,",, 0:04",,1,2015
24,71,12,+0:10,,Bouhanni Nacer,5,"Cofidis, Solutions Cr\xe9dits",",, 0:04",,1,2015
25,84,14,+0:10,,Reguigui Youcef,6,MTN - Qhubeka,",, 0:04",,1,2015
23,64,27,+0:10,,Haller Marco,7,Team Katusha,",, 0:04",,1,2015
23,127,28,+0:10,,Van Meirhaeghe Jef,8,Topsport Vlaanderen - Baloise,",, 0:04",,1,2015
24,105,29,+0:10,,Rowe Luke,9,Team Sky,",, 0:04",,1,2015
24,152,34,+0:10,,Aregger Marcel,10,IAM Cycling,",, 0:04",,1,2015
24,72,37,+0:10,,Ahlstrand Jonas,11,"Cofidis, Solutions Cr\xe9dits",",, 0:04",,1,2015
24,167,47,+0:10,,Thwaites Scott,12,Bora - Argon 18,",, 0:04",,1,2015
24,85,55,+0:35,,Sbaragli Kristian,13,MTN - Qhubeka,0:29 0:29,,1,2015
23,12,60,+0:39,,Arndt Nikias,14,Team Giant - Alpecin,0:33 0:33,,1,2015
23,62,63,+0:43,,Bystr\xf8m Sven Erik,15,Team Katusha,0:37 0:37,,1,2015
21,48,67,+0:43,,Zabel Rick,16,BMC Racing Team,",, 0:37",,1,2015
23,6,70,+0:43,,van Keirsbulck Guillaume,17,Etixx - Quick Step,",, 0:37",,1,2015
22,57,73,+0:43,,S\xfctterlin Jasha,18,Movistar Team,",, 0:37",,1,2015
21,77,94,+1:00,,S\xe9n\xe9chal Florian,19,"Cofidis, Solutions Cr\xe9dits",0:54 0:54,,1,2015
24,166,95,+1:02,,Schwarzmann Michael,20,Bora - Argon 18,0:56 0:56,,1,2015
24,117,99,+1:26,,Le Bon Johan,21,FDJ,1:20 1:20,,1,2015
24,175,100,+1:26,,Ruffoni Nicola,22,Bardiani - CSF Pro Team,",, 1:20",,1,2015
24,102,102,+1:26,,Fenn Andrew,23,Team Sky,",, 1:20",,1,2015
24,14,108,+1:26,,Preidler Georg,24,Team Giant - Alpecin,",, 1:20",,1,2015
23,126,112,+1:26,,Van Hoecke Gijs,25,Topsport Vlaanderen - Baloise,",, 1:20",,1,2015
21,38,117,+1:26,,van Poppel Danny,26,Trek Factory Racing,",, 1:20",,1,2015
23,122,118,+1:26,,Campenaerts Victor,27,Topsport Vlaanderen - Baloise,",, 1:20",,1,2015
24,25,119,+1:26,,Hansen Jesper,28,Tinkoff - Saxo,",, 1:20",,1,2015
24,86,131,+2:39,,Van Zyl Johann,29,MTN - Qhubeka,2:33 2:33,,1,2015
21,177,133,+3:00,,Sterbini Simone,30,Bardiani - CSF Pro Team,2:54 2:54,,1,2015
24,75,137,+4:04,,Petit Adrien,31,"Cofidis, Solutions Cr\xe9dits",3:58 3:58,,1,2015
22,176,138,+5:52,,Sterbini Luca,32,Bardiani - CSF Pro Team,5:46 5:46,,1,2015
25,21,7,+0:10,2.0,Sagan Peter,1,Tinkoff - Saxo,7:39:41 7:39:41,\u25b21,2,2015
22,36,9,+0:10,4.0,Stuyven Jasper,2,Trek Factory Racing,",, ,,",\u25b22,2,2015
24,105,11,+0:10,9.0,Rowe Luke,3,Team Sky,",, ,,",\u25b26,2,2015
23,12,29,+0:54,14.0,Arndt Nikias,4,Team Giant - Alpecin,0:44 0:44,\u25b210,2,2015
23,62,31,+0:58,15.0,Bystr\xf8m Sven Erik,5,Team Katusha,0:48 0:48,\u25b210,2,2015
24,102,33,+1:41,23.0,Fenn Andrew,6,Team Sky,1:31 1:31,\u25b217,2,2015
24,161,37,+3:18,3.0,Bennett Sam,7,Bora - Argon 18,3:08 3:08,\u25bc4,2,2015
24,71,38,+3:18,5.0,Bouhanni Nacer,8,"Cofidis, Solutions Cr\xe9dits",",, 3:08",\u25bc3,2,2015
24,72,41,+3:18,11.0,Ahlstrand Jonas,9,"Cofidis, Solutions Cr\xe9dits",",, 3:08",\u25b22,2,2015
24,167,42,+3:18,12.0,Thwaites Scott,10,Bora - Argon 18,",, 3:08",\u25b22,2,2015
23,6,51,+3:51,17.0,van Keirsbulck Guillaume,11,Etixx - Quick Step,3:41 3:41,\u25b26,2,2015
23,111,59,+7:01,1.0,D\xe9mare Arnaud,12,FDJ,6:51 6:51,\u25bc11,2,2015
24,152,62,+7:05,10.0,Aregger Marcel,13,IAM Cycling,6:55 6:55,\u25bc3,2,2015
23,64,64,+7:05,7.0,Haller Marco,14,Team Katusha,",, 6:55",\u25bc7,2,2015
25,84,78,+9:28,6.0,Reguigui Youcef,15,MTN - Qhubeka,9:18 9:18,\u25bc9,2,2015
21,48,84,+10:01,16.0,Zabel Rick,16,BMC Racing Team,9:51 9:51,-,2,2015
22,57,91,+10:01,18.0,S\xfctterlin Jasha,17,Movistar Team,",, 9:51",\u25b21,2,2015
24,175,98,+10:44,22.0,Ruffoni Nicola,18,Bardiani - CSF Pro Team,10:34 10:34,\u25b24,2,2015
24,14,102,+10:44,24.0,Preidler Georg,19,Team Giant - Alpecin,",, 10:34",\u25b25,2,2015
21,38,105,+10:44,26.0,van Poppel Danny,20,Trek Factory Racing,",, 10:34",\u25b26,2,2015
23,122,108,+10:44,27.0,Campenaerts Victor,21,Topsport Vlaanderen - Baloise,",, 10:34",\u25b26,2,2015
24,75,109,+10:59,31.0,Petit Adrien,22,"Cofidis, Solutions Cr\xe9dits",10:49 10:49,\u25b29,2,2015
24,86,111,+11:57,29.0,Van Zyl Johann,23,MTN - Qhubeka,11:47 11:47,\u25b26,2,2015
21,77,118,+13:09,19.0,S\xe9n\xe9chal Florian,24,"Cofidis, Solutions Cr\xe9dits",12:59 12:59,\u25bc5,2,2015
23,127,124,+23:58,8.0,Van Meirhaeghe Jef,25,Topsport Vlaanderen - Baloise,23:48 23:48,\u25bc17,2,2015
24,85,126,+24:23,13.0,Sbaragli Kristian,26,MTN - Qhubeka,24:13 24:13,\u25bc13,2,2015
24,166,130,+24:50,20.0,Schwarzmann Michael,27,Bora - Argon 18,24:40 24:40,\u25bc7,2,2015
24,117,131,+25:14,21.0,Le Bon Johan,28,FDJ,25:04 25:04,\u25bc7,2,2015
23,126,132,+25:14,25.0,Van Hoecke Gijs,29,Topsport Vlaanderen - Baloise,",, 25:04",\u25bc4,2,2015
24,25,133,+25:14,28.0,Hansen Jesper,30,Tinkoff - Saxo,",, 25:04",\u25bc2,2,2015
